#timestep       power           acc-energy      avg-power       dt              acc-time       
1               10.884000       0.218366        10.884000       0.020063        0.020063       
2               10.884000       0.439496        10.884000       0.020317        0.040380       
3               10.884000       0.678911        10.884000       0.021997        0.062377       
4               10.884000       0.898681        10.884000       0.020192        0.082569       
5               10.884000       1.118353        10.884000       0.020183        0.102752       
6               10.884000       1.338003        10.884000       0.020181        0.122933       
7               10.884000       1.557707        10.884000       0.020186        0.143119       
8               10.884000       1.777335        10.884000       0.020179        0.163298       
9               10.884000       1.996681        10.884000       0.020153        0.183451       
10              10.884000       2.216265        10.884000       0.020175        0.203626       
11              10.884000       2.438636        10.884000       0.020431        0.224057       
12              10.884000       2.662194        10.884000       0.020540        0.244597       
13              10.884000       2.921070        10.884000       0.023785        0.268382       
14              10.884000       3.150461        10.884000       0.021076        0.289458       
15              10.884000       3.373420        10.884000       0.020485        0.309943       
16              10.884000       3.598359        10.884000       0.020667        0.330610       
17              10.884000       3.817356        10.884000       0.020121        0.350731       
18              10.884000       4.036342        10.884000       0.020120        0.370851       
19              10.884000       4.255317        10.884000       0.020119        0.390970       
20              10.884000       4.475174        10.884000       0.020200        0.411170       
21              10.884000       4.727879        10.884000       0.023218        0.434388       
22              10.884000       4.949564        10.884000       0.020368        0.454756       
23              10.884000       5.171250        10.884000       0.020368        0.475124       
24              10.884000       5.424651        10.884000       0.023282        0.498406       
25              10.884000       5.644355        10.884000       0.020186        0.518592       
26              10.884000       5.892369        10.884000       0.022787        0.541379       
27              10.884000       6.112248        10.884000       0.020202        0.561581       
28              10.884000       6.332137        10.884000       0.020203        0.581784       
29              10.884000       6.551907        10.884000       0.020192        0.601976       
30              10.884000       6.771698        10.884000       0.020194        0.622170       
31              10.884000       6.991512        10.884000       0.020196        0.642366       
32              10.884000       7.210345        10.884000       0.020106        0.662472       
33              10.884000       7.429484        10.884000       0.020134        0.682606       
34              10.884000       7.648394        10.884000       0.020113        0.702719       
35              10.884000       7.867260        10.884000       0.020109        0.722828       
36              10.884000       8.086181        10.884000       0.020114        0.742942       
37              10.884000       8.306701        10.884000       0.020261        0.763203       
38              10.884000       8.527429        10.884000       0.020280        0.783483       
39              10.884000       8.747678        10.884000       0.020236        0.803719       
40              10.884000       8.967556        10.884000       0.020202        0.823921       
41              10.884000       9.186444        10.884000       0.020111        0.844032       
42              10.884000       9.405637        10.884000       0.020139        0.864171       
43              10.884000       9.625167        10.884000       0.020170        0.884341       
44              10.884000       9.844056        10.884000       0.020111        0.904452       
45              10.884000       10.062323       10.884000       0.020054        0.924506       
46              10.884000       10.300422       10.884000       0.021876        0.946382       
47              10.813000       10.518314       10.882520       0.020151        0.966533       
48              10.813000       10.735904       10.881102       0.020123        0.986656       
49              10.813000       10.953505       10.879741       0.020124        1.006780       
50              10.813000       11.171041       10.878433       0.020118        1.026898       
51              10.813000       11.388631       10.877176       0.020123        1.047021       
