#timestep       power           acc-energy      avg-power       dt              acc-time       
1               272.332000      5.496204        272.332000      0.020182        0.020182       
2               272.332000      11.079010       272.332000      0.020500        0.040682       
3               272.332000      16.609529       272.332000      0.020308        0.060990       
4               272.332000      22.150123       272.332000      0.020345        0.081335       
5               272.332000      27.679552       272.332000      0.020304        0.101639       
6               256.467000      32.898912       269.685319      0.020351        0.121990       
7               256.467000      38.110322       267.797917      0.020320        0.142310       
8               256.467000      43.327630       266.380760      0.020343        0.162653       
9               256.467000      48.538270       265.279935      0.020317        0.182970       
10              240.209000      53.415713       262.775617      0.020305        0.203275       
11              240.209000      58.297001       260.724702      0.020321        0.223596       
12              240.209000      63.176846       259.015979      0.020315        0.243911       
13              240.209000      68.054290       257.570662      0.020305        0.264216       
14              240.209000      72.932214       256.331524      0.020307        0.284523       
15              220.849000      77.420308       253.966139      0.020322        0.304845       
16              220.849000      81.904647       251.898037      0.020305        0.325150       
17              220.849000      86.354533       250.086253      0.020149        0.345299       
18              220.849000      90.810603       248.472139      0.020177        0.365476       
19              220.849000      95.262257       247.028280      0.020157        0.385633       
20              201.412000      99.345684       244.749865      0.020274        0.405907       
21              201.412000      103.432333      242.686676      0.020290        0.426197       
22              201.412000      107.493202      240.822302      0.020162        0.446359       
23              201.412000      111.552661      239.119642      0.020155        0.466514       
24              201.412000      115.613529      237.557491      0.020162        0.486676       
25              179.573000      119.236415      235.249442      0.020175        0.506851       
26              179.573000      122.864148      233.115357      0.020202        0.527053       
27              179.573000      126.476618      231.146844      0.020117        0.547170       
28              179.573000      130.093398      229.315840      0.020141        0.567311       
29              179.573000      133.715565      227.607936      0.020171        0.587482       
30              157.452000      136.892317      225.278556      0.020176        0.607658       
31              157.452000      140.070800      223.097740      0.020187        0.627845       
32              157.452000      143.237632      221.060057      0.020113        0.647958       
