#timestep       power           acc-energy      avg-power       dt              acc-time       
1               226.237000      4.564784        226.237000      0.020177        0.020177       
2               240.182000      9.491397        233.266906      0.020512        0.040689       
3               240.182000      14.367092       235.568574      0.020300        0.060989       
4               240.182000      19.243507       236.720795      0.020303        0.081292       
5               240.182000      24.123044       237.412845      0.020316        0.101608       
6               240.182000      29.008586       237.874738      0.020341        0.121949       
7               286.940000      34.838059       244.881450      0.020316        0.142265       
8               286.940000      40.668393       250.137734      0.020319        0.162584       
9               286.940000      46.499014       254.226338      0.020320        0.182904       
10              286.940000      52.340539       257.502822      0.020358        0.203262       
