#timestep       power           acc-energy      avg-power       dt              acc-time       
1               46.185000       0.932152        46.185000       0.020183        0.020183       
2               46.185000       1.882454        46.185000       0.020576        0.040759       
3               46.185000       2.817793        46.185000       0.020252        0.061011       
4               58.861000       4.005019        49.334443       0.020170        0.081181       
5               58.861000       5.192952        51.231239       0.020182        0.101363       
6               58.861000       6.380120        52.497446       0.020169        0.121532       
7               58.861000       7.567993        53.403664       0.020181        0.141713       
8               58.861000       8.755691        54.083863       0.020178        0.161891       
9               74.928000       10.267063       56.393225       0.020171        0.182062       
10              74.928000       11.778136       58.241579       0.020167        0.202229       
11              74.928000       13.291083       59.756419       0.020192        0.222421       
12              74.928000       14.801331       61.017043       0.020156        0.242577       
13              74.928000       16.313678       62.085614       0.020184        0.262761       
14              88.848000       18.111429       63.999111       0.020234        0.282995       
