#timestep       power           acc-energy      avg-power       dt              acc-time       
1               17.544000       0.354055        17.544000       0.020181        0.020181       
2               17.544000       0.714058        17.544000       0.020520        0.040701       
3               37.893000       1.485219        24.327111       0.020351        0.061052       
4               37.893000       2.254712        27.713123       0.020307        0.081359       
5               37.893000       3.024811        29.747757       0.020323        0.101682       
6               37.893000       3.795479        31.105386       0.020338        0.122020       
7               37.893000       4.565541        32.074446       0.020322        0.142342       
8               58.671000       5.757853        35.397216       0.020322        0.162664       
9               58.671000       6.950048        37.981723       0.020320        0.182984       
10              58.671000       8.143474        40.051515       0.020341        0.203325       
11              58.671000       9.335786        41.743401       0.020322        0.223647       
12              58.671000       10.527922       43.153236       0.020319        0.243966       
13              76.436000       12.080490       45.711298       0.020312        0.264278       
14              76.436000       13.633823       47.905210       0.020322        0.284600       
15              76.436000       15.187537       49.807126       0.020327        0.304927       
16              76.436000       16.740946       51.471011       0.020323        0.325250       
17              76.436000       18.294814       52.939599       0.020329        0.345579       
18              93.596000       20.200054       55.201208       0.020356        0.365935       
19              93.596000       22.105294       57.224461       0.020356        0.386291       
20              93.596000       24.011470       59.046002       0.020366        0.406657       
