#timestep       power           acc-energy      avg-power       dt              acc-time       
1               54.158000       1.095346        54.158000       0.020225        0.020225       
2               54.158000       2.206397        54.158000       0.020515        0.040740       
3               53.953000       3.302398        54.089792       0.020314        0.061054       
4               53.953000       4.397698        54.055657       0.020301        0.081355       
5               53.953000       5.493645        54.035147       0.020313        0.101668       
6               53.953000       6.589539        54.021468       0.020312        0.121980       
7               53.953000       7.688669        54.011669       0.020372        0.142352       
8               53.827000       8.783080        53.988590       0.020332        0.162684       
9               53.827000       9.877221        53.970642       0.020327        0.183011       
10              53.827000       10.975292       53.956236       0.020400        0.203411       
