#timestep       power           acc-energy      avg-power       dt              acc-time       
1               148.156000      2.976306        148.156000      0.020089        0.020089       
2               166.464000      6.372504        157.380761      0.020402        0.040491       
3               166.464000      9.753888        160.415230      0.020313        0.060804       
4               166.464000      13.141929       161.932174      0.020353        0.081157       
5               166.464000      16.524478       162.839638      0.020320        0.101477       
6               166.464000      19.906527       163.444234      0.020317        0.121794       
7               158.884000      23.133620       162.792442      0.020311        0.142105       
8               158.884000      26.360077       162.303754      0.020307        0.162412       
9               158.884000      29.586217       161.923723      0.020305        0.182717       
10              158.884000      32.843180       161.617097      0.020499        0.203216       
11              158.884000      36.050095       161.370164      0.020184        0.223400       
12              158.970000      39.256997       161.171380      0.020173        0.243573       
13              158.970000      42.463739       161.003012      0.020172        0.263745       
14              158.970000      45.668575       160.858648      0.020160        0.283905       
15              158.970000      48.874523       160.733387      0.020167        0.304072       
16              158.970000      52.079358       160.623744      0.020160        0.324232       
17              148.480000      55.085632       159.909987      0.020247        0.344479       
