#timestep       power           acc-energy      avg-power       dt              acc-time       
1               36.055000       0.729248        36.055000       0.020226        0.020226       
2               36.055000       1.469097        36.055000       0.020520        0.040746       
3               36.055000       2.203249        36.055000       0.020362        0.061108       
4               36.055000       2.930226        36.055000       0.020163        0.081271       
5               36.055000       3.657419        36.055000       0.020169        0.101440       
6               48.842000       4.642611        38.175915       0.020171        0.121611       
7               48.842000       5.627119        39.692451       0.020157        0.141768       
8               48.842000       6.612458        40.832260       0.020174        0.161942       
9               48.842000       7.597259        41.719113       0.020163        0.182105       
10              48.842000       8.582109        42.429187       0.020164        0.202269       
11              60.283000       9.796993        44.046868       0.020153        0.222422       
12              60.283000       11.013262       45.397169       0.020176        0.242598       
13              60.283000       12.228025       46.538807       0.020151        0.262749       
14              60.283000       13.442547       47.517627       0.020147        0.282896       
15              60.283000       14.660625       48.368618       0.020206        0.303102       
