#timestep       power           acc-energy      avg-power       dt              acc-time       
1               20.687000       0.417526        20.687000       0.020183        0.020183       
2               20.687000       0.842499        20.687000       0.020543        0.040726       
3               20.687000       1.263003        20.687000       0.020327        0.061053       
4               20.687000       1.683198        20.687000       0.020312        0.081365       
5               20.687000       2.103640        20.687000       0.020324        0.101689       
6               45.867000       3.035107        24.878541       0.020308        0.121997       
7               45.867000       3.966529        27.873627       0.020307        0.142304       
8               45.867000       4.897904        30.120557       0.020306        0.162610       
9               45.867000       5.829279        31.868613       0.020306        0.182916       
10              71.332000       7.277818        35.811980       0.020307        0.203223       
11              71.332000       8.729852        39.045940       0.020356        0.223579       
