#timestep       power           acc-energy      avg-power       dt              acc-time       
1               247.124000      4.994870        247.124000      0.020212        0.020212       
2               247.124000      10.040401       247.124000      0.020417        0.040629       
3               247.124000      15.058748       247.124000      0.020307        0.060936       
4               247.124000      20.076601       247.124000      0.020305        0.081241       
5               247.124000      25.097419       247.124000      0.020317        0.101558       
6               251.507000      30.207538       247.854692      0.020318        0.121876       
7               251.507000      35.325203       248.377228      0.020348        0.142224       
8               251.507000      40.439598       248.768741      0.020335        0.162559       
9               251.507000      45.548459       249.072900      0.020313        0.182872       
10              251.507000      50.666878       249.316654      0.020351        0.203223       
11              257.011000      55.899879       250.017351      0.020361        0.223584       
12              257.011000      61.128254       250.600606      0.020343        0.243927       
