#timestep       power           acc-energy      avg-power       dt              acc-time       
1               3.906000        0.039290        3.906000        0.010059        0.010059       
2               3.906000        0.090416        3.906000        0.013089        0.023148       
3               3.906000        0.130117        3.906000        0.010164        0.033312       
4               3.906000        0.169837        3.906000        0.010169        0.043481       
5               3.906000        0.209533        3.906000        0.010163        0.053644       
6               3.906000        0.249203        3.906000        0.010156        0.063800       
7               3.906000        0.288907        3.906000        0.010165        0.073965       
8               3.906000        0.328592        3.906000        0.010160        0.084125       
9               3.906000        0.369336        3.906000        0.010431        0.094556       
10              3.906000        0.409029        3.906000        0.010162        0.104718       
11              3.906000        0.448741        3.906000        0.010167        0.114885       
12              3.906000        0.488430        3.906000        0.010161        0.125046       
13              3.906000        0.528099        3.906000        0.010156        0.135202       
14              3.906000        0.567796        3.906000        0.010163        0.145365       
15              3.906000        0.607449        3.906000        0.010152        0.155517       
16              3.906000        0.647127        3.906000        0.010158        0.165675       
17              3.906000        0.686800        3.906000        0.010157        0.175832       
18              3.906000        0.726329        3.906000        0.010120        0.185952       
19              3.906000        0.765853        3.906000        0.010119        0.196071       
20              3.906000        0.805214        3.906000        0.010077        0.206148       
21              3.906000        0.844751        3.906000        0.010122        0.216270       
22              3.906000        0.884334        3.906000        0.010134        0.226404       
23              3.906000        0.941959        3.906000        0.014753        0.241157       
24              3.906000        0.982023        3.906000        0.010257        0.251414       
25              3.906000        1.026145        3.906000        0.011296        0.262710       
26              3.906000        1.066108        3.906000        0.010231        0.272941       
27              3.906000        1.106765        3.906000        0.010409        0.283350       
28              3.906000        1.149032        3.906000        0.010821        0.294171       
29              3.906000        1.188990        3.906000        0.010230        0.304401       
30              3.906000        1.229777        3.906000        0.010442        0.314843       
31              3.906000        1.285672        3.906000        0.014310        0.329153       
32              3.906000        1.326208        3.906000        0.010378        0.339531       
33              3.906000        1.369346        3.906000        0.011044        0.350575       
34              3.906000        1.408836        3.906000        0.010110        0.360685       
35              3.906000        1.448310        3.906000        0.010106        0.370791       
36              3.906000        1.487780        3.906000        0.010105        0.380896       
37              3.906000        1.527254        3.906000        0.010106        0.391002       
38              3.906000        1.566728        3.906000        0.010106        0.401108       
39              3.906000        1.606206        3.906000        0.010107        0.411215       
40              3.906000        1.645672        3.906000        0.010104        0.421319       
41              3.906000        1.685138        3.906000        0.010104        0.431423       
42              3.906000        1.724608        3.906000        0.010105        0.441528       
43              3.906000        1.764254        3.906000        0.010150        0.451678       
44              3.906000        1.803748        3.906000        0.010111        0.461789       
45              3.906000        1.843632        3.906000        0.010211        0.472000       
46              3.906000        1.883172        3.906000        0.010123        0.482123       
47              3.906000        1.937946        3.906000        0.014023        0.496146       
48              3.906000        1.977401        3.906000        0.010101        0.506247       
49              3.850000        2.016286        3.904905        0.010100        0.516347       
50              3.850000        2.055433        3.903844        0.010168        0.526515       
51              3.850000        2.101390        3.902651        0.011937        0.538452       
52              3.850000        2.141453        3.901652        0.010406        0.548858       
53              3.850000        2.186232        3.900581        0.011631        0.560489       
54              3.850000        2.235035        3.899462        0.012676        0.573165       
55              3.850000        2.277901        3.898519        0.011134        0.584299       
56              3.850000        2.317302        3.897684        0.010234        0.594533       
57              3.850000        2.356718        3.896877        0.010238        0.604771       
58              3.850000        2.404424        3.895936        0.012391        0.617162       
59              3.850000        2.443982        3.895184        0.010275        0.627437       
60              3.850000        2.483375        3.894459        0.010232        0.637669       
61              3.850000        2.522765        3.893756        0.010231        0.647900       
62              3.850000        2.562166        3.893076        0.010234        0.658134       
63              3.850000        2.601528        3.892417        0.010224        0.668358       
64              3.850000        2.640875        3.891778        0.010220        0.678578       
65              3.850000        2.680276        3.891158        0.010234        0.688812       
66              3.850000        2.719673        3.890555        0.010233        0.699045       
67              3.850000        2.759051        3.889970        0.010228        0.709273       
68              3.850000        2.798456        3.889402        0.010235        0.719508       
69              3.850000        2.837803        3.888850        0.010220        0.729728       
70              3.850000        2.885616        3.888200        0.012419        0.742147       
71              3.850000        2.924589        3.887686        0.010123        0.752270       
72              3.850000        2.964029        3.887179        0.010244        0.762514       
73              3.850000        3.003553        3.886686        0.010266        0.772780       
74              3.850000        3.042919        3.886206        0.010225        0.783005       
75              3.850000        3.082316        3.885739        0.010233        0.793238       
76              3.850000        3.121709        3.885284        0.010232        0.803470       
77              3.850000        3.161103        3.884841        0.010232        0.813702       
78              3.850000        3.200742        3.884405        0.010296        0.823998       
79              3.850000        3.239820        3.883987        0.010150        0.834148       
80              3.850000        3.278732        3.883580        0.010107        0.844255       
81              3.850000        3.317647        3.883182        0.010108        0.854363       
82              3.850000        3.356571        3.882794        0.010110        0.864473       
83              3.850000        3.395487        3.882415        0.010108        0.874581       
84              3.850000        3.434395        3.882045        0.010106        0.884687       
85              3.850000        3.473338        3.881683        0.010115        0.894802       
86              3.850000        3.520904        3.881251        0.012355        0.907157       
87              3.850000        3.560282        3.880903        0.010228        0.917385       
88              3.850000        3.599818        3.880561        0.010269        0.927654       
89              3.850000        3.639053        3.880229        0.010191        0.937845       
90              3.850000        3.678439        3.879903        0.010230        0.948075       
91              3.850000        3.721832        3.879551        0.011271        0.959346       
92              3.850000        3.761352        3.879238        0.010265        0.969611       
93              3.850000        3.800799        3.878933        0.010246        0.979857       
94              3.850000        3.848131        3.878574        0.012294        0.992151       
95              3.850000        3.887640        3.878282        0.010262        1.002413       
96              3.850000        3.927129        3.877995        0.010257        1.012670       
97              3.850000        3.966573        3.877715        0.010245        1.022915       
98              3.850000        4.005550        3.877443        0.010124        1.033039       
99              3.850000        4.044962        3.877174        0.010237        1.043276       
100             3.850000        4.084113        3.876912        0.010169        1.053445       
101             3.850000        4.124996        3.876643        0.010619        1.064064       
102             3.850000        4.171570        3.876343        0.012097        1.076161       
103             3.850000        4.211321        3.876093        0.010325        1.086486       
104             3.850000        4.250287        3.875852        0.010121        1.096607       
105             3.850000        4.289129        3.875617        0.010089        1.106696       
106             3.850000        4.327957        3.875385        0.010085        1.116781       
107             3.850000        4.366730        3.875158        0.010071        1.126852       
108             3.850000        4.405650        3.874935        0.010109        1.136961       
109             3.850000        4.444415        3.874716        0.010069        1.147030       
110             3.850000        4.483177        3.874501        0.010068        1.157098       
111             3.850000        4.522066        3.874289        0.010101        1.167199       
112             3.850000        4.560943        3.874080        0.010098        1.177297       
113             3.850000        4.599913        3.873875        0.010122        1.187419       
114             3.850000        4.641239        3.873661        0.010734        1.198153       
115             3.850000        4.680301        3.873463        0.010146        1.208299       
116             3.850000        4.719313        3.873267        0.010133        1.218432       
117             3.850000        4.758317        3.873076        0.010131        1.228563       
118             3.850000        4.797314        3.872887        0.010129        1.238692       
119             3.850000        4.836303        3.872701        0.010127        1.248819       
120             3.850000        4.875307        3.872519        0.010131        1.258950       
121             3.850000        4.914312        3.872339        0.010131        1.269081       
122             3.850000        4.953878        3.872159        0.010277        1.279358       
123             3.850000        4.992986        3.871985        0.010158        1.289516       
124             3.850000        5.033350        3.871808        0.010484        1.300000       
125             3.850000        5.083973        3.871589        0.013149        1.313149       
126             3.850000        5.122982        3.871424        0.010132        1.323281       
127             3.850000        5.161974        3.871261        0.010128        1.333409       
128             3.850000        5.200975        3.871101        0.010130        1.343539       
129             3.850000        5.240476        3.870941        0.010260        1.353799       
130             3.850000        5.284166        3.870767        0.011348        1.365147       
131             3.850000        5.323082        3.870614        0.010108        1.375255       
132             3.850000        5.361986        3.870464        0.010105        1.385360       
133             3.850000        5.400882        3.870316        0.010103        1.395463       
134             3.850000        5.440133        3.870168        0.010195        1.405658       
135             3.850000        5.481632        3.870015        0.010779        1.416437       
136             3.850000        5.538285        3.869809        0.014715        1.431152       
137             3.850000        5.577466        3.869669        0.010177        1.441329       
138             3.850000        5.616606        3.869531        0.010166        1.451495       
139             3.850000        5.658651        3.869386        0.010921        1.462416       
140             3.850000        5.698664        3.869249        0.010393        1.472809       
141             3.850000        5.737827        3.869117        0.010172        1.482981       
142             3.850000        5.777008        3.868986        0.010177        1.493158       
143             3.850000        5.818338        3.868851        0.010735        1.503893       
144             3.799000        5.857080        3.868380        0.010198        1.514091       
145             3.799000        5.897414        3.867897        0.010617        1.524708       
146             3.799000        5.935788        3.867444        0.010101        1.534809       
147             3.799000        5.974146        3.866997        0.010097        1.544906       
148             3.799000        6.020646        3.866462        0.012240        1.557146       
149             3.799000        6.059012        3.866027        0.010099        1.567245       
150             3.799000        6.097371        3.865598        0.010097        1.577342       
151             3.799000        6.135737        3.865175        0.010099        1.587441       
152             3.799000        6.174259        3.864755        0.010140        1.597581       
153             3.799000        6.212632        3.864342        0.010101        1.607682       
154             3.799000        6.250995        3.863934        0.010098        1.617780       
155             3.799000        6.289357        3.863531        0.010098        1.627878       
156             3.799000        6.327719        3.863133        0.010098        1.637976       
157             3.799000        6.366355        3.862737        0.010170        1.648146       
158             3.799000        6.411939        3.862277        0.011999        1.660145       
159             3.799000        6.450294        3.861894        0.010096        1.670241       
160             3.799000        6.488641        3.861516        0.010094        1.680335       
161             3.799000        6.526988        3.861143        0.010094        1.690429       
162             3.799000        6.565373        3.860774        0.010104        1.700533       
163             3.799000        6.605267        3.860395        0.010501        1.711034       
164             3.799000        6.647800        3.859996        0.011196        1.722230       
165             3.799000        6.687116        3.859631        0.010349        1.732579       
166             3.799000        6.727313        3.859263        0.010581        1.743160       
167             3.799000        6.780476        3.858783        0.013994        1.757154       
168             3.799000        6.820947        3.858423        0.010653        1.767807       
169             3.799000        6.859629        3.858083        0.010182        1.777989       
170             3.799000        6.898268        3.857747        0.010171        1.788160       
171             3.799000        6.937276        3.857411        0.010268        1.798428       
172             3.799000        6.975973        3.857082        0.010186        1.808614       
173             3.799000        7.014628        3.856757        0.010175        1.818789       
174             3.799000        7.053355        3.856435        0.010194        1.828983       
175             3.799000        7.091979        3.856118        0.010167        1.839150       
176             3.799000        7.130615        3.855804        0.010170        1.849320       
177             3.799000        7.169312        3.855493        0.010186        1.859506       
178             3.799000        7.208008        3.855185        0.010186        1.869692       
179             3.799000        7.246675        3.854881        0.010178        1.879870       
180             3.799000        7.285326        3.854580        0.010174        1.890044       
