#timestep       power           acc-energy      avg-power       dt              acc-time       
1               3.703000        0.037104        3.703000        0.010020        0.010020       
2               3.703000        0.087132        3.703000        0.013510        0.023530       
3               3.703000        0.124491        3.703000        0.010089        0.033619       
4               3.703000        0.161854        3.703000        0.010090        0.043709       
5               3.703000        0.199210        3.703000        0.010088        0.053797       
6               3.703000        0.236566        3.703000        0.010088        0.063885       
7               3.703000        0.273922        3.703000        0.010088        0.073973       
8               3.703000        0.311282        3.703000        0.010089        0.084062       
9               3.703000        0.348649        3.703000        0.010091        0.094153       
10              3.688000        0.385860        3.701548        0.010090        0.104243       
11              3.688000        0.423083        3.700352        0.010093        0.114336       
12              3.688000        0.460295        3.699350        0.010090        0.124426       
13              3.688000        0.508619        3.698269        0.013103        0.137529       
14              3.688000        0.552875        3.697445        0.012000        0.149529       
15              3.688000        0.590080        3.696848        0.010088        0.159617       
16              3.688000        0.634011        3.696234        0.011912        0.171529       
17              3.688000        0.671212        3.695776        0.010087        0.181616       
18              3.688000        0.708442        3.695367        0.010095        0.191711       
19              3.688000        0.745654        3.694998        0.010090        0.201801       
20              3.688000        0.782870        3.694665        0.010091        0.211892       
21              3.688000        0.820082        3.694362        0.010090        0.221982       
22              3.688000        0.857275        3.694086        0.010085        0.232067       
23              3.688000        0.894465        3.693832        0.010084        0.242151       
24              3.688000        0.931655        3.693599        0.010084        0.252235       
25              3.688000        0.968837        3.693384        0.010082        0.262317       
26              3.688000        1.006023        3.693185        0.010083        0.272400       
27              3.688000        1.043213        3.693000        0.010084        0.282484       
28              3.688000        1.080259        3.692828        0.010045        0.292529       
29              3.688000        1.117449        3.692667        0.010084        0.302613       
30              3.688000        1.154646        3.692516        0.010086        0.312699       
31              3.688000        1.192371        3.692373        0.010229        0.322928       
32              3.688000        1.229697        3.692241        0.010121        0.333049       
33              3.688000        1.267001        3.692116        0.010115        0.343164       
34              3.688000        1.305231        3.691995        0.010366        0.353530       
35              3.688000        1.343866        3.691880        0.010476        0.364006       
36              3.688000        1.383605        3.691768        0.010775        0.374781       
37              3.688000        1.420901        3.691669        0.010113        0.384894       
38              3.688000        1.458191        3.691575        0.010111        0.395005       
39              3.688000        1.495513        3.691486        0.010120        0.405125       
40              3.688000        1.533474        3.691400        0.010293        0.415418       
41              3.688000        1.571018        3.691318        0.010180        0.425598       
42              3.688000        1.608477        3.691241        0.010157        0.435755       
43              3.688000        1.649388        3.691161        0.011093        0.446848       
44              3.688000        1.686644        3.691091        0.010102        0.456950       
45              3.688000        1.723845        3.691024        0.010087        0.467037       
46              3.688000        1.761042        3.690960        0.010086        0.477123       
