#timestep       power           acc-energy      avg-power       dt              acc-time       
1               272.022000      1.404994        272.022000      0.005165        0.005165       
2               272.022000      2.836917        272.022000      0.005264        0.010429       
3               272.022000      4.266665        272.022000      0.005256        0.015685       
4               272.022000      5.685260        272.022000      0.005215        0.020900       
5               272.022000      7.091614        272.022000      0.005170        0.026070       
6               272.022000      8.503136        272.022000      0.005189        0.031259       
7               272.022000      9.909217        272.022000      0.005169        0.036428       
8               272.022000      11.315299       272.022000      0.005169        0.041597       
9               272.022000      12.725189       272.022000      0.005183        0.046780       
10              272.022000      14.130727       272.022000      0.005167        0.051947       
11              272.022000      15.546873       272.022000      0.005206        0.057153       
12              272.022000      16.958396       272.022000      0.005189        0.062342       
13              272.022000      18.365837       272.022000      0.005174        0.067516       
14              272.022000      19.774911       272.022000      0.005180        0.072696       
15              277.509000      21.209633       272.386315      0.005170        0.077866       
16              277.509000      22.643522       272.705091      0.005167        0.083033       
17              277.509000      24.082129       272.987389      0.005184        0.088217       
18              277.509000      25.516850       273.237710      0.005170        0.093387       
19              277.509000      26.951017       273.461687      0.005168        0.098555       
20              277.509000      28.386016       273.663455      0.005171        0.103726       
21              277.509000      29.821015       273.846062      0.005171        0.108897       
22              277.509000      31.256014       274.012113      0.005171        0.114068       
23              277.509000      32.689903       274.163649      0.005167        0.119235       
24              277.509000      34.123514       274.302571      0.005166        0.124401       
25              277.509000      35.559623       274.430629      0.005175        0.129576       
26              277.509000      36.995455       274.548830      0.005174        0.134750       
27              277.509000      38.437947       274.658777      0.005198        0.139948       
28              277.509000      39.872113       274.760282      0.005168        0.145116       
29              277.509000      41.306835       274.854841      0.005170        0.150286       
30              277.509000      42.740724       274.943061      0.005167        0.155453       
31              277.509000      44.174335       275.025589      0.005166        0.160619       
32              277.509000      45.619047       275.103555      0.005206        0.165825       
33              277.509000      47.052381       275.176215      0.005165        0.170990       
34              281.764000      48.508256       275.369446      0.005167        0.176157       
35              281.764000      49.961876       275.551391      0.005159        0.181316       
36              281.764000      51.418596       275.723625      0.005170        0.186486       
37              281.764000      52.886586       275.887793      0.005210        0.191696       
38              281.764000      54.342743       276.042053      0.005168        0.196864       
39              281.764000      55.777203       276.186295      0.005091        0.201955       
40              281.764000      57.234487       276.325571      0.005172        0.207127       
41              281.764000      58.691770       276.458062      0.005172        0.212299       
42              281.764000      60.147363       276.584107      0.005166        0.217465       
43              281.764000      61.613944       276.705189      0.005205        0.222670       
44              281.764000      63.072073       276.820089      0.005175        0.227845       
45              281.764000      64.527948       276.929719      0.005167        0.233012       
46              281.764000      65.983822       277.034593      0.005167        0.238179       
47              281.764000      67.440542       277.135070      0.005170        0.243349       
48              281.764000      68.897262       277.231367      0.005170        0.248519       
49              281.764000      70.356800       277.323914      0.005180        0.253699       
50              281.764000      71.812392       277.412522      0.005166        0.258865       
51              281.764000      73.273339       277.497969      0.005185        0.264050       
52              281.764000      74.728932       277.579830      0.005166        0.269216       
53              278.048000      76.177284       277.588717      0.005209        0.274425       
54              278.048000      77.623967       277.597263      0.005203        0.279628       
55              278.048000      79.060085       277.605437      0.005165        0.284793       
56              278.048000      80.498428       277.613333      0.005173        0.289966       
57              278.048000      81.941219       277.620974      0.005189        0.295155       
58              278.048000      83.379005       277.628327      0.005171        0.300326       
59              278.048000      84.830137       277.635495      0.005219        0.305545       
60              278.048000      86.270982       277.642375      0.005182        0.310727       
61              278.048000      87.709046       277.649016      0.005172        0.315899       
62              278.048000      89.146277       277.655439      0.005169        0.321068       
63              278.048000      90.584063       277.661661      0.005171        0.326239       
64              278.048000      92.021293       277.667687      0.005169        0.331408       
65              278.048000      93.457967       277.673526      0.005167        0.336575       
66              278.048000      94.894085       277.679185      0.005165        0.341740       
67              278.048000      96.331593       277.684682      0.005170        0.346910       
68              278.048000      97.769101       277.690017      0.005170        0.352080       
69              278.048000      99.205219       277.695192      0.005165        0.357245       
70              278.048000      100.653571      277.700263      0.005209        0.362454       
71              278.048000      102.093026      277.705160      0.005177        0.367631       
72              278.048000      103.536095      277.709932      0.005190        0.372821       
73              259.111000      104.874921      277.455690      0.005167        0.377988       
74              259.111000      106.218671      277.207407      0.005186        0.383174       
75              259.111000      107.560088      276.966168      0.005177        0.388351       
76              259.111000      108.899692      276.731591      0.005170        0.393521       
77              259.111000      110.238778      276.503184      0.005168        0.398689       
78              259.111000      111.577605      276.280666      0.005167        0.403856       
79              259.111000      112.916172      276.063811      0.005166        0.409022       
80              259.111000      114.255258      275.852284      0.005168        0.414190       
81              259.111000      115.595380      275.645814      0.005172        0.419362       
82              259.111000      116.934465      275.444528      0.005168        0.424530       
83              259.111000      118.273033      275.248159      0.005166        0.429696       
84              259.111000      119.620928      275.055135      0.005202        0.434898       
85              259.111000      120.958977      274.868035      0.005164        0.440062       
86              259.111000      122.299618      274.684926      0.005174        0.445236       
87              259.111000      123.642849      274.505682      0.005184        0.450420       
88              259.111000      124.988153      274.330249      0.005192        0.455612       
89              259.111000      126.328016      274.159456      0.005171        0.460783       
90              259.111000      127.667102      273.992549      0.005168        0.465951       
91              259.111000      129.011370      273.828679      0.005188        0.471139       
92              241.129000      130.257042      273.474018      0.005166        0.476305       
93              241.129000      131.503438      273.126769      0.005169        0.481474       
94              241.129000      132.758032      272.784685      0.005203        0.486677       
95              241.129000      134.008286      272.450985      0.005185        0.491862       
96              241.129000      135.253476      272.125556      0.005164        0.497026       
97              241.129000      136.502766      271.805781      0.005181        0.502207       
98              241.129000      137.759048      271.490801      0.005210        0.507417       
99              241.129000      139.037755      271.176773      0.005303        0.512720       
