#timestep       power           acc-energy      avg-power       dt              acc-time       
1               293.901000      1.487433        293.901000      0.005061        0.005061       
2               293.901000      3.011310        293.901000      0.005185        0.010246       
3               293.901000      4.511968        293.901000      0.005106        0.015352       
4               293.901000      6.012333        293.901000      0.005105        0.020457       
5               293.901000      7.550904        293.901000      0.005235        0.025692       
6               293.901000      9.085362        293.901000      0.005221        0.030913       
7               268.360000      10.471173       290.245105      0.005164        0.036077       
8               268.360000      11.863693       287.493159      0.005189        0.041266       
9               268.360000      13.260238       285.350509      0.005204        0.046470       
10              268.360000      14.646586       283.650668      0.005166        0.051636       
11              268.360000      16.037227       282.256106      0.005182        0.056818       
12              268.360000      17.421965       281.099181      0.005160        0.061978       
13              268.360000      18.806971       280.119915      0.005161        0.067139       
14              268.360000      20.186341       279.283628      0.005140        0.072279       
15              268.360000      21.572957       278.554832      0.005167        0.077446       
16              268.360000      22.964941       277.914886      0.005187        0.082633       
