#timestep       power           acc-energy      avg-power       dt              acc-time       
1               241.129000      1.233375        241.129000      0.005115        0.005115       
2               241.129000      2.465062        241.129000      0.005108        0.010223       
3               241.129000      3.692650        241.129000      0.005091        0.015314       
4               241.129000      4.939528        241.129000      0.005171        0.020485       
5               241.129000      6.190987        241.129000      0.005190        0.025675       
6               241.129000      7.441241        241.129000      0.005185        0.030860       
7               241.129000      8.687637        241.129000      0.005169        0.036029       
8               241.129000      9.948500        241.129000      0.005229        0.041258       
9               241.129000      11.206711       241.129000      0.005218        0.046476       
10              219.501000      12.341532       238.963939      0.005170        0.051646       
11              219.501000      13.476132       237.193210      0.005169        0.056815       
12              219.501000      14.610952       235.717551      0.005170        0.061985       
13              219.501000      15.752138       234.462642      0.005199        0.067184       
14              219.501000      16.886300       233.394145      0.005167        0.072351       
15              219.501000      18.020681       232.467923      0.005168        0.077519       
16              219.501000      19.155721       231.657040      0.005171        0.082690       
17              219.501000      20.291199       230.941344      0.005173        0.087863       
18              219.501000      21.425361       230.305933      0.005167        0.093030       
19              219.501000      22.565888       229.734369      0.005196        0.098226       
20              219.501000      23.700050       229.222963      0.005167        0.103393       
21              219.501000      24.835089       228.759897      0.005171        0.108564       
22              219.501000      25.971227       228.338550      0.005176        0.113740       
23              219.501000      27.108022       227.953669      0.005179        0.118919       
24              219.501000      28.243721       227.601239      0.005174        0.124093       
25              219.501000      29.377882       227.277442      0.005167        0.129260       
26              219.501000      30.512922       226.978315      0.005171        0.134431       
27              219.501000      31.647962       226.701348      0.005171        0.139602       
28              219.501000      32.784538       226.443830      0.005178        0.144780       
29              189.520000      33.763977       225.171240      0.005168        0.149948       
30              189.520000      34.742848       223.984114      0.005165        0.155113       
31              189.520000      35.722856       222.872250      0.005171        0.160284       
32              189.520000      36.700969       221.831838      0.005161        0.165445       
33              189.520000      37.680029       220.853455      0.005166        0.170611       
34              189.520000      38.662121       219.929812      0.005182        0.175793       
35              189.520000      39.640992       219.061839      0.005165        0.180958       
36              189.520000      40.621569       218.240650      0.005174        0.186132       
37              189.520000      41.612569       217.455850      0.005229        0.191361       
38              189.520000      42.597125       216.717502      0.005195        0.196556       
39              189.520000      43.581113       216.017572      0.005192        0.201748       
40              189.520000      44.563395       215.353887      0.005183        0.206931       
41              189.520000      45.537528       214.727747      0.005140        0.212071       
42              189.520000      46.520379       214.126029      0.005186        0.217257       
43              189.520000      47.520665       213.542433      0.005278        0.222535       
44              189.520000      48.512234       212.990617      0.005232        0.227767       
45              189.520000      49.510436       212.460138      0.005267        0.233034       
46              189.520000      50.502383       211.956215      0.005234        0.238268       
47              189.520000      51.488646       211.476661      0.005204        0.243472       
48              189.520000      52.468653       211.020031      0.005171        0.248643       
49              164.391000      53.321350       210.067169      0.005187        0.253830       
50              164.391000      54.183909       209.142105      0.005247        0.259077       
51              164.391000      55.036276       208.264058      0.005185        0.264262       
52              164.391000      55.890945       207.417568      0.005199        0.269461       
53              164.391000      56.741176       206.607274      0.005172        0.274633       
54              164.391000      57.592228       205.826196      0.005177        0.279810       
55              164.391000      58.439663       205.076635      0.005155        0.284965       
56              164.391000      59.289894       204.351371      0.005172        0.290137       
57              164.391000      60.143905       203.648453      0.005195        0.295332       
58              164.391000      60.991505       202.974844      0.005156        0.300488       
59              164.391000      61.840091       202.323217      0.005162        0.305650       
