#timestep       power           acc-energy      avg-power       dt              acc-time       
1               284.576000      1.476949        284.576000      0.005190        0.005190       
2               284.576000      2.980934        284.576000      0.005285        0.010475       
3               284.576000      4.466705        284.576000      0.005221        0.015696       
4               284.576000      5.953614        284.576000      0.005225        0.020921       
5               284.576000      7.424303        284.576000      0.005168        0.026089       
6               284.576000      8.897838        284.576000      0.005178        0.031267       
7               284.576000      10.369665       284.576000      0.005172        0.036439       
8               284.576000      11.850883       284.576000      0.005205        0.041644       
9               284.576000      13.326410       284.576000      0.005185        0.046829       
10              284.576000      14.799659       284.576000      0.005177        0.052006       
11              284.576000      16.271771       284.576000      0.005173        0.057179       
12              284.576000      17.750997       284.576000      0.005198        0.062377       
13              284.576000      19.221401       284.576000      0.005167        0.067544       
14              284.576000      20.693513       284.576000      0.005173        0.072717       
15              284.576000      22.169609       284.576000      0.005187        0.077904       
16              284.576000      23.642859       284.576000      0.005177        0.083081       
17              284.576000      25.114686       284.576000      0.005172        0.088253       
18              284.576000      26.589928       284.576000      0.005184        0.093437       
19              284.576000      28.062039       284.576000      0.005173        0.098610       
20              292.825000      29.576530       284.987091      0.005172        0.103782       
21              292.825000      31.091314       285.359222      0.005173        0.108955       
22              292.825000      32.609026       285.698242      0.005183        0.114138       
23              292.825000      34.128202       286.008096      0.005188        0.119326       
24              292.825000      35.657627       286.293965      0.005223        0.124549       
25              292.825000      37.175046       286.554842      0.005182        0.129731       
26              292.825000      38.726726       286.800902      0.005299        0.135030       
27              292.825000      40.258786       287.025611      0.005232        0.140262       
28              292.825000      41.771227       287.231583      0.005165        0.145427       
29              292.825000      43.285425       287.423641      0.005171        0.150598       
30              292.825000      44.796695       287.602612      0.005161        0.155759       
31              292.825000      46.328756       287.772333      0.005232        0.160991       
32              292.825000      47.861109       287.931399      0.005233        0.166224       
33              292.825000      49.382920       288.079759      0.005197        0.171421       
34              292.825000      50.903268       288.219258      0.005192        0.176613       
35              292.825000      52.420687       288.350543      0.005182        0.181795       
36              292.825000      53.938106       288.474551      0.005182        0.186977       
37              292.825000      55.457282       288.592003      0.005188        0.192165       
38              292.825000      56.979972       288.703530      0.005200        0.197365       
39              291.607000      58.485539       288.777548      0.005163        0.202528       
40              291.607000      59.998396       288.848217      0.005188        0.207716       
41              291.607000      61.510087       288.915392      0.005184        0.212900       
42              291.607000      63.019736       288.979289      0.005177        0.218077       
43              291.607000      64.537551       289.040544      0.005205        0.223282       
44              291.607000      66.041368       289.098482      0.005157        0.228439       
45              291.607000      67.546935       289.153925      0.005163        0.233602       
46              291.607000      69.055418       289.207070      0.005173        0.238775       
47              291.607000      70.559527       289.257817      0.005158        0.243933       
48              291.607000      72.062761       289.306434      0.005155        0.249088       
49              291.607000      73.568620       289.353160      0.005164        0.254252       
50              291.607000      75.075061       289.398043      0.005166        0.259418       
51              291.607000      76.582670       289.441205      0.005170        0.264588       
52              291.607000      78.095235       289.482847      0.005187        0.269775       
53              291.607000      79.606634       289.522888      0.005183        0.274958       
54              291.607000      81.125032       289.561622      0.005207        0.280165       
55              291.607000      82.608728       289.598105      0.005088        0.285253       
56              291.607000      84.094466       289.633357      0.005095        0.290348       
57              291.607000      85.579329       289.667373      0.005092        0.295440       
58              290.091000      87.079099       289.674659      0.005170        0.300610       
59              290.091000      88.571327       289.681663      0.005144        0.305754       
60              290.091000      90.050211       289.688377      0.005098        0.310852       
61              290.091000      91.536347       289.694904      0.005123        0.315975       
62              290.091000      93.020163       289.701214      0.005115        0.321090       
63              290.091000      94.500207       289.707311      0.005102        0.326192       
64              290.091000      95.975610       289.713202      0.005086        0.331278       
65              290.091000      97.481472       289.719030      0.005191        0.336469       
66              290.091000      98.980373       289.724656      0.005167        0.341636       
67              290.091000      100.487105      289.730142      0.005194        0.346830       
68              290.091000      101.988616      289.735448      0.005176        0.352006       
69              290.091000      103.486646      289.740589      0.005164        0.357170       
70              290.091000      104.989898      289.745600      0.005182        0.362352       
71              290.091000      106.486187      289.750448      0.005158        0.367510       
72              290.091000      107.992340      289.755192      0.005192        0.372702       
73              290.091000      109.508355      289.759836      0.005226        0.377928       
74              290.091000      111.007836      289.764304      0.005169        0.383097       
75              290.091000      112.505865      289.768649      0.005164        0.388261       
76              290.091000      114.004185      289.772881      0.005165        0.393426       
77              290.091000      115.516140      289.777040      0.005212        0.398638       
78              290.979000      117.019046      289.792414      0.005165        0.403803       
79              290.979000      118.520207      289.807383      0.005159        0.408962       
80              290.979000      120.023404      289.821998      0.005166        0.414128       
81              290.979000      121.527475      289.836262      0.005169        0.419297       
82              290.979000      123.029800      289.850161      0.005163        0.424460       
83              290.979000      124.530378      289.863712      0.005157        0.429617       
84              290.979000      126.035031      289.876976      0.005171        0.434788       
85              290.979000      127.551904      289.890032      0.005213        0.440001       
86              290.979000      129.057720      289.902691      0.005175        0.445176       
87              290.979000      130.563246      289.915057      0.005174        0.450350       
88              290.979000      132.078955      289.927222      0.005209        0.455559       
89              290.979000      133.581571      289.939011      0.005164        0.460723       
90              290.979000      135.084769      289.950543      0.005166        0.465889       
91              290.979000      136.589712      289.961835      0.005172        0.471061       
92              290.979000      138.095237      289.972886      0.005174        0.476235       
93              290.979000      139.598435      289.983683      0.005166        0.481401       
94              290.979000      141.100759      289.994244      0.005163        0.486564       
95              290.979000      142.615305      290.004667      0.005205        0.491769       
96              290.979000      144.117630      290.014790      0.005163        0.496932       
97              289.315000      145.613388      290.007584      0.005170        0.502102       
98              289.315000      147.106832      290.000537      0.005162        0.507264       
99              289.315000      148.602301      289.993621      0.005169        0.512433       
100             289.315000      150.098060      289.986843      0.005170        0.517603       
101             289.315000      151.595554      289.980191      0.005176        0.522779       
102             289.315000      153.095363      289.973660      0.005184        0.527963       
103             289.315000      154.598355      289.967242      0.005195        0.533158       
104             289.315000      156.096717      289.960967      0.005179        0.538337       
105             289.315000      157.593054      289.954820      0.005172        0.543509       
106             289.315000      159.106172      289.948722      0.005230        0.548739       
107             289.315000      160.602798      289.942804      0.005173        0.553912       
108             289.315000      162.108104      289.936962      0.005203        0.559115       
109             289.315000      163.608781      289.931245      0.005187        0.564302       
110             289.315000      165.109747      289.925631      0.005188        0.569490       
111             289.315000      166.614185      289.920105      0.005200        0.574690       
112             289.315000      168.115730      289.914690      0.005190        0.579880       
113             289.315000      169.618143      289.909367      0.005193        0.585073       
114             289.315000      171.117084      289.904150      0.005181        0.590254       
115             289.315000      172.614578      289.899028      0.005176        0.595430       
116             287.291000      174.101022      289.876561      0.005174        0.600604       
117             287.291000      175.588902      289.854456      0.005179        0.605783       
118             287.291000      177.083677      289.832627      0.005203        0.610986       
119             287.291000      178.580176      289.811141      0.005209        0.616195       
120             287.291000      180.071216      289.790092      0.005190        0.621385       
121             287.291000      181.559384      289.769431      0.005180        0.626565       
122             287.291000      183.049562      289.749082      0.005187        0.631752       
123             287.291000      184.535719      289.729118      0.005173        0.636925       
124             287.291000      186.020726      289.709491      0.005169        0.642094       
125             287.291000      187.510904      289.690110      0.005187        0.647281       
126             287.291000      188.997635      289.671081      0.005175        0.652456       
127             287.291000      190.484653      289.652349      0.005176        0.657632       
128             287.291000      191.975694      289.633859      0.005190        0.662822       
129             287.291000      193.474203      289.615566      0.005216        0.668038       
130             287.291000      194.980757      289.597461      0.005244        0.673282       
131             287.291000      196.473809      289.579794      0.005197        0.678479       
132             287.291000      197.960540      289.562468      0.005175        0.683654       
133             287.291000      199.447845      289.545397      0.005177        0.688831       
134             287.291000      200.934863      289.528583      0.005176        0.694007       
135             285.230000      202.410643      289.496773      0.005174        0.699181       
136             285.230000      203.893839      289.465274      0.005200        0.704381       
137             285.230000      205.371901      289.434344      0.005182        0.709563       
138             285.230000      206.859376      289.403669      0.005215        0.714778       
139             285.230000      208.338008      289.373617      0.005184        0.719962       
140             285.230000      209.818067      289.343966      0.005189        0.725151       
141             285.230000      211.298695      289.314726      0.005191        0.730342       
142             285.230000      212.786170      289.285766      0.005215        0.735557       
143             285.230000      214.265658      289.257365      0.005187        0.740744       
144             285.230000      215.740582      289.229446      0.005171        0.745915       
145             285.230000      217.217503      289.201874      0.005178        0.751093       
146             285.230000      218.697276      289.174627      0.005188        0.756281       
147             285.230000      220.173912      289.147809      0.005177        0.761458       
148             285.230000      221.651404      289.121337      0.005180        0.766638       
149             285.230000      223.126043      289.095271      0.005170        0.771808       
150             285.230000      224.603534      289.069502      0.005180        0.776988       
151             285.230000      226.080455      289.044084      0.005178        0.782166       
152             285.230000      227.559373      289.018967      0.005185        0.787351       
153             285.230000      229.041713      288.994121      0.005197        0.792548       
154             285.230000      230.531184      288.969482      0.005222        0.797770       
155             283.165000      231.996846      288.932065      0.005176        0.802946       
156             283.165000      233.465340      288.895056      0.005186        0.808132       
157             283.165000      234.933550      288.858526      0.005185        0.813317       
158             283.165000      236.403460      288.822418      0.005191        0.818508       
159             283.165000      237.870538      288.786833      0.005181        0.823689       
160             283.165000      239.336200      288.751726      0.005176        0.828865       
161             283.165000      240.800446      288.717089      0.005171        0.834036       
162             283.165000      242.266391      288.682839      0.005177        0.839213       
163             283.165000      243.735734      288.648930      0.005189        0.844402       
164             283.165000      245.201963      288.615507      0.005178        0.849580       
165             283.165000      246.666775      288.582520      0.005173        0.854753       
166             283.165000      248.137251      288.549805      0.005193        0.859946       
167             283.165000      249.613956      288.517347      0.005215        0.865161       
168             283.165000      251.080185      288.485504      0.005178        0.870339       
169             283.165000      252.544431      288.454079      0.005171        0.875510       
170             283.165000      254.008394      288.423030      0.005170        0.880680       
171             283.165000      255.476038      288.392266      0.005183        0.885863       
172             283.165000      256.943966      288.361855      0.005184        0.891047       
173             283.165000      258.407362      288.331887      0.005168        0.896215       
174             281.136000      259.862241      288.290575      0.005175        0.901390       
175             281.136000      261.316558      288.249749      0.005173        0.906563       
176             281.136000      262.771718      288.209364      0.005176        0.911739       
177             281.136000      264.224910      288.169489      0.005169        0.916908       
178             281.136000      265.682881      288.129931      0.005186        0.922094       
179             281.136000      267.137197      288.090914      0.005173        0.927267       
180             281.136000      268.593201      288.052285      0.005179        0.932446       
181             281.136000      270.061293      288.013767      0.005222        0.937668       
182             281.136000      271.525730      287.975770      0.005209        0.942877       
183             281.136000      272.988481      287.938234      0.005203        0.948080       
184             281.136000      274.443079      287.901313      0.005174        0.953254       
185             281.136000      275.898239      287.864777      0.005176        0.958430       
186             281.136000      277.351431      287.828682      0.005169        0.963599       
187             281.136000      278.809964      287.792842      0.005188        0.968787       
188             281.136000      280.263718      287.757499      0.005171        0.973958       
189             281.136000      281.717473      287.722530      0.005171        0.979129       
190             281.136000      283.170383      287.687947      0.005168        0.984297       
191             281.136000      284.624700      287.653693      0.005173        0.989470       
192             281.136000      286.092792      287.619476      0.005222        0.994692       
193             279.086000      287.535667      287.575352      0.005170        0.999862       
194             279.086000      288.983565      287.531531      0.005188        1.005050       
195             279.086000      290.437882      287.487968      0.005211        1.010261       
196             279.086000      291.881036      287.445182      0.005171        1.015432       
197             279.086000      293.328376      287.402707      0.005186        1.020618       
198             279.086000      294.784647      287.360403      0.005218        1.025836       
199             279.086000      296.226963      287.318927      0.005168        1.031004       
200             279.086000      297.669279      287.277865      0.005168        1.036172       
201             279.086000      299.117736      287.237037      0.005190        1.041362       
202             279.086000      300.562843      287.196708      0.005178        1.046540       
