#timestep       power           acc-energy      avg-power       dt              acc-time       
1               67.053000       0.339221        67.053000       0.005059        0.005059       
2               67.053000       0.687025        67.053000       0.005187        0.010246       
3               67.053000       1.029465        67.053000       0.005107        0.015353       
4               67.053000       1.371770        67.053000       0.005105        0.020458       
5               67.053000       1.721251        67.053000       0.005212        0.025670       
6               67.053000       2.069591        67.053000       0.005195        0.030865       
7               67.053000       2.419473        67.053000       0.005218        0.036083       
8               67.053000       2.766473        67.053000       0.005175        0.041258       
9               67.053000       3.113338        67.053000       0.005173        0.046431       
10              67.053000       3.460136        67.053000       0.005172        0.051603       
11              67.053000       3.808275        67.053000       0.005192        0.056795       
12              67.053000       4.155341        67.053000       0.005176        0.061971       
13              72.250000       4.531041        67.455322       0.005200        0.067171       
14              72.250000       4.908909        67.801673       0.005230        0.072401       
15              72.250000       5.282947        68.098523       0.005177        0.077578       
16              72.250000       5.656407        68.357855       0.005169        0.082747       
17              72.250000       6.029940        68.586735       0.005170        0.087917       
18              72.250000       6.403472        68.790190       0.005170        0.093087       
19              72.250000       6.777077        68.972269       0.005171        0.098258       
20              72.250000       7.150682        69.136141       0.005171        0.103429       
21              72.250000       7.524287        69.284408       0.005171        0.108600       
22              72.250000       7.898325        69.419346       0.005177        0.113777       
23              72.250000       8.274169        69.543108       0.005202        0.118979       
24              72.250000       8.648569        69.656083       0.005182        0.124161       
25              72.250000       9.022535        69.759891       0.005176        0.129337       
26              72.250000       9.396429        69.855691       0.005175        0.134512       
27              72.250000       9.770250        69.944377       0.005174        0.139686       
28              72.250000       10.143927       70.026697       0.005172        0.144858       
29              72.250000       10.517821       70.103384       0.005175        0.150033       
30              72.250000       10.891570       70.174930       0.005173        0.155206       
31              72.250000       11.265030       70.241811       0.005169        0.160375       
32              84.493000       11.701690       70.686712       0.005168        0.165543       
33              84.493000       12.138688       71.104988       0.005172        0.170715       
34              84.493000       12.575517       71.498518       0.005170        0.175885       
35              84.493000       13.012177       71.869434       0.005168        0.181053       
36              84.493000       13.449090       72.219961       0.005171        0.186224       
37              84.493000       13.885834       72.551422       0.005169        0.191393       
38              84.493000       14.322917       72.865687       0.005173        0.196566       
39              84.493000       14.760168       73.163947       0.005175        0.201741       
40              84.493000       15.198180       73.447769       0.005184        0.206925       
41              84.493000       15.636783       73.718073       0.005191        0.212116       
42              84.493000       16.076062       73.975850       0.005199        0.217315       
43              84.493000       16.514074       74.220889       0.005184        0.222499       
44              84.493000       16.951747       74.454593       0.005180        0.227679       
45              84.493000       17.388661       74.677520       0.005171        0.232850       
46              84.493000       17.826081       74.891004       0.005177        0.238027       
47              84.493000       18.263670       75.095475       0.005179        0.243206       
48              84.493000       18.700668       75.291161       0.005172        0.248378       
49              84.493000       19.137666       75.478863       0.005172        0.253550       
50              84.493000       19.575339       75.659334       0.005180        0.258730       
51              84.493000       20.012084       75.832359       0.005169        0.263899       
52              95.407000       20.509727       76.211756       0.005216        0.269115       
53              95.407000       21.003744       76.574117       0.005178        0.274293       
