#timestep       power           acc-energy      avg-power       dt              acc-time       
1               239.731000      1.233895        239.731000      0.005147        0.005147       
2               239.731000      2.504230        239.731000      0.005299        0.010446       
3               239.731000      3.749153        239.731000      0.005193        0.015639       
4               239.731000      5.000309        239.731000      0.005219        0.020858       
5               239.731000      6.241157        239.731000      0.005176        0.026034       
6               239.731000      7.477210        239.731000      0.005156        0.031190       
7               239.731000      8.713023        239.731000      0.005155        0.036345       
8               239.731000      9.948837        239.731000      0.005155        0.041500       
9               239.731000      11.189205       239.731000      0.005174        0.046674       
10              239.731000      12.425737       239.731000      0.005158        0.051832       
11              239.731000      13.664427       239.731000      0.005167        0.056999       
12              239.731000      14.907193       239.731000      0.005184        0.062183       
13              239.731000      16.145643       239.731000      0.005166        0.067349       
14              241.136000      17.389181       239.830931      0.005157        0.072506       
15              241.136000      18.632238       239.917559      0.005155        0.077661       
16              241.136000      19.875294       239.993403      0.005155        0.082816       
17              241.136000      21.125343       240.060712      0.005184        0.088000       
18              241.136000      22.368881       240.120238      0.005157        0.093157       
19              241.136000      23.615313       240.173637      0.005169        0.098326       
20              241.136000      24.867050       240.221896      0.005191        0.103517       
21              241.136000      26.110347       240.265265      0.005156        0.108673       
22              241.136000      27.362084       240.304962      0.005191        0.113864       
23              241.136000      28.609240       240.341070      0.005172        0.119036       
24              241.136000      29.853742       240.374103      0.005161        0.124197       
25              241.136000      31.097522       240.404483      0.005158        0.129355       
26              241.136000      32.349018       240.432701      0.005190        0.134545       
27              241.136000      33.592556       240.458663      0.005157        0.139702       
28              241.136000      34.845499       240.482952      0.005196        0.144898       
29              241.136000      36.089519       240.505404      0.005159        0.150057       
30              241.136000      37.332817       240.526352      0.005156        0.155213       
31              241.136000      38.579249       240.546000      0.005169        0.160382       
32              241.136000      39.823028       240.564384      0.005158        0.165540       
33              241.136000      41.067049       240.581660      0.005159        0.170699       
34              248.921000      42.351481       240.826350      0.005160        0.175859       
35              248.921000      43.634669       241.056873      0.005155        0.181014       
36              248.921000      44.919350       241.274876      0.005161        0.186175       
37              248.921000      46.204280       241.481158      0.005162        0.191337       
38              248.921000      47.496429       241.677670      0.005191        0.196528       
39              248.921000      48.785591       241.863649      0.005179        0.201707       
40              248.921000      50.070023       242.039685      0.005160        0.206867       
41              248.921000      51.354207       242.207120      0.005159        0.212026       
42              248.921000      52.646605       242.367597      0.005192        0.217218       
43              248.921000      53.940247       242.520725      0.005197        0.222415       
44              248.921000      55.226920       242.666092      0.005169        0.227584       
45              248.921000      56.518073       242.805474      0.005187        0.232771       
46              248.921000      57.805990       242.938453      0.005174        0.237945       
47              248.921000      59.092912       243.065676      0.005170        0.243115       
48              248.921000      60.382820       243.187878      0.005182        0.248297       
49              248.921000      61.668249       243.304684      0.005164        0.253461       
50              248.921000      62.957908       243.417188      0.005181        0.258642       
51              248.921000      64.243585       243.524945      0.005165        0.263807       
52              248.921000      65.529013       243.628544      0.005164        0.268971       
53              251.834000      66.836284       243.783907      0.005191        0.274162       
54              251.834000      68.143554       243.933496      0.005191        0.279353       
55              251.834000      69.455861       244.078171      0.005211        0.284564       
56              251.834000      70.759605       244.216750      0.005177        0.289741       
57              251.834000      72.061335       244.350261      0.005169        0.294910       
58              251.834000      73.362058       244.479073      0.005165        0.300075       
59              251.834000      74.670084       244.604214      0.005194        0.305269       
60              251.834000      75.974080       244.724801      0.005178        0.310447       
61              251.834000      77.275558       244.841209      0.005168        0.315615       
62              251.834000      78.581569       244.954253      0.005186        0.320801       
63              251.834000      79.882796       245.063306      0.005167        0.325968       
64              251.834000      81.187548       245.169237      0.005181        0.331149       
65              251.834000      82.488270       245.271592      0.005165        0.336314       
66              251.834000      83.793778       245.371211      0.005184        0.341498       
67              251.834000      85.098278       245.467777      0.005180        0.346678       
68              251.834000      86.400511       245.561339      0.005171        0.351849       
69              251.834000      87.707782       245.652537      0.005191        0.357040       
70              251.834000      89.008504       245.740684      0.005165        0.362205       
71              251.834000      90.316027       245.826794      0.005192        0.367397       
72              254.129000      91.610051       245.940287      0.005092        0.372489       
73              254.129000      92.925423       246.052515      0.005176        0.377665       
74              254.129000      94.239524       246.161605      0.005171        0.382836       
75              254.129000      95.559978       246.268293      0.005196        0.388032       
76              254.129000      96.874842       246.371728      0.005174        0.393206       
77              254.129000      98.187164       246.472285      0.005164        0.398370       
78              254.129000      99.499232       246.570248      0.005163        0.403533       
79              254.129000      100.815874      246.666066      0.005181        0.408714       
80              254.129000      102.128959      246.759235      0.005167        0.413881       
81              254.129000      103.441535      246.850072      0.005165        0.419046       
82              254.129000      104.754874      246.938748      0.005168        0.424214       
83              254.129000      106.067450      247.025239      0.005165        0.429379       
84              254.129000      107.380789      247.109723      0.005168        0.434547       
85              254.129000      108.696161      247.192347      0.005176        0.439723       
86              254.129000      110.011024      247.273018      0.005174        0.444897       
87              254.129000      111.323092      247.351669      0.005163        0.450060       
88              254.129000      112.638464      247.428727      0.005176        0.455236       
89              254.129000      113.956377      247.504196      0.005186        0.460422       
90              254.129000      115.272257      247.577871      0.005178        0.465600       
91              254.129000      116.587374      247.649884      0.005175        0.470775       
92              261.441000      117.939286      247.799720      0.005171        0.475946       
93              261.441000      119.291981      247.946420      0.005174        0.481120       
94              261.441000      120.641540      248.089668      0.005162        0.486282       
95              261.441000      121.991883      248.229987      0.005165        0.491447       
96              261.441000      123.341703      248.367336      0.005163        0.496610       
97              261.441000      124.692307      248.501935      0.005166        0.501776       
98              261.441000      126.043695      248.633866      0.005169        0.506945       
99              261.441000      127.393777      248.763011      0.005164        0.512109       
100             261.441000      128.749087      248.890062      0.005184        0.517293       
101             261.441000      130.099429      249.014140      0.005165        0.522458       
102             261.441000      131.453171      249.136092      0.005178        0.527636       
103             261.441000      132.803252      249.255353      0.005164        0.532800       
104             261.441000      134.153595      249.372348      0.005165        0.537965       
105             261.441000      135.510997      249.487711      0.005192        0.543157       
106             261.441000      136.841993      249.598709      0.005091        0.548248       
107             261.441000      138.192074      249.709212      0.005164        0.553412       
108             261.441000      139.544247      249.817838      0.005172        0.558584       
109             261.441000      140.908708      249.925431      0.005219        0.563803       
110             261.441000      142.262449      250.030228      0.005178        0.568981       
111             272.022000      143.788765      250.244982      0.005611        0.574592       
112             272.022000      145.211712      250.441448      0.005231        0.579823       
113             272.022000      146.617793      250.632134      0.005169        0.584992       
