#timestep       power           acc-energy      avg-power       dt              acc-time       
1               10.709000       0.215315        10.709000       0.020106        0.020106       
2               10.709000       0.441179        10.709000       0.021091        0.041197       
3               10.709000       0.728490        10.709000       0.026829        0.068026       
4               10.709000       0.964099        10.709000       0.022001        0.090027       
5               10.709000       1.197395        10.709000       0.021785        0.111812       
6               10.709000       1.424533        10.709000       0.021210        0.133022       
7               10.709000       1.686860        10.709000       0.024496        0.157518       
8               10.709000       2.527570        10.709000       0.078505        0.236023       
9               10.709000       2.743142        10.709000       0.020130        0.256153       
10              10.709000       2.958511        10.709000       0.020111        0.276264       
11              10.709000       3.173848        10.709000       0.020108        0.296372       
12              10.709000       3.389109        10.709000       0.020101        0.316473       
13              10.709000       3.604339        10.709000       0.020098        0.336571       
14              10.709000       3.821153        10.709000       0.020246        0.356817       
15              10.709000       4.091138        10.709000       0.025211        0.382028       
16              10.709000       4.358863        10.709000       0.025000        0.407028       
17              10.709000       4.575067        10.709000       0.020189        0.427217       
18              10.709000       4.791067        10.709000       0.020170        0.447387       
19              10.709000       5.007143        10.709000       0.020177        0.467564       
20              10.709000       5.223068        10.709000       0.020163        0.487727       
21              10.709000       5.438480        10.709000       0.020115        0.507842       
22              10.709000       5.653774        10.709000       0.020104        0.527946       
23              10.709000       5.869528        10.709000       0.020147        0.548093       
24              10.709000       6.085282        10.709000       0.020147        0.568240       
25              10.709000       6.301293        10.709000       0.020171        0.588411       
26              10.709000       6.516598        10.709000       0.020105        0.608516       
27              10.709000       6.732009        10.709000       0.020115        0.628631       
28              10.709000       6.947410        10.709000       0.020114        0.648745       
29              10.709000       7.174195        10.709000       0.021177        0.669922       
30              10.709000       7.426488        10.709000       0.023559        0.693481       
31              10.709000       7.642403        10.709000       0.020162        0.713643       
32              10.709000       7.860727        10.709000       0.020387        0.734030       
33              10.782000       8.081392        10.710980       0.020466        0.754496       
34              10.782000       8.301873        10.712854       0.020449        0.774945       
35              10.782000       8.522063        10.714630       0.020422        0.795367       
36              10.782000       8.740549        10.716303       0.020264        0.815631       
37              10.782000       8.960427        10.717906       0.020393        0.836024       
38              10.782000       9.182051        10.719444       0.020555        0.856579       
39              10.782000       9.399534        10.720883       0.020171        0.876750       
40              10.782000       9.616964        10.722257       0.020166        0.896916       
41              10.782000       9.844626        10.723631       0.021115        0.918031       
42              10.782000       10.103459       10.725119       0.024006        0.942037       
43              10.782000       10.329309       10.726356       0.020947        0.962984       
44              10.782000       10.554782       10.727539       0.020912        0.983896       
45              10.782000       10.775911       10.728651       0.020509        1.004405       
46              10.782000       10.993815       10.729703       0.020210        1.024615       
47              10.782000       11.212118       10.730716       0.020247        1.044862       
48              10.782000       11.429300       10.731686       0.020143        1.065005       
49              10.782000       11.647398       10.732624       0.020228        1.085233       
50              10.782000       11.893163       10.733640       0.022794        1.108027       
51              10.782000       12.110841       10.734505       0.020189        1.128216       
52              10.782000       12.328950       10.735342       0.020229        1.148445       
53              10.782000       12.547824       10.736152       0.020300        1.168745       
54              10.782000       12.766839       10.736936       0.020313        1.189058       
55              10.782000       13.057630       10.737935       0.026970        1.216028       
56              10.782000       13.511746       10.739410       0.042118        1.258146       
57              10.782000       13.769177       10.740203       0.023876        1.282022       
58              10.782000       13.986079       10.740849       0.020117        1.302139       
59              10.782000       14.202969       10.741475       0.020116        1.322255       
60              10.782000       14.419828       10.742082       0.020113        1.342368       
61              10.782000       14.636610       10.742671       0.020106        1.362474       
62              10.782000       14.864402       10.743272       0.021127        1.383601       
63              10.782000       15.103913       10.743884       0.022214        1.405815       
64              10.782000       15.321807       10.744424       0.020209        1.426024       
65              10.782000       15.559011       10.744995       0.022000        1.448024       
66              10.782000       15.776214       10.745503       0.020145        1.468169       
67              10.782000       15.993493       10.745997       0.020152        1.488321       
68              10.782000       16.210761       10.746478       0.020151        1.508472       
69              10.782000       16.428751       10.746948       0.020218        1.528690       
70              10.782000       16.658818       10.747430       0.021338        1.550028       
71              10.782000       16.877110       10.747876       0.020246        1.570274       
72              10.782000       17.096427       10.748312       0.020341        1.590615       
73              10.782000       17.313328       10.748733       0.020117        1.610732       
74              10.782000       17.530208       10.749143       0.020115        1.630847       
75              10.782000       17.747789       10.749545       0.020180        1.651027       
76              10.782000       17.995980       10.749991       0.023019        1.674046       
77              10.782000       18.216148       10.750377       0.020420        1.694466       
78              10.782000       18.435422       10.750752       0.020337        1.714803       
