#timestep       power           acc-energy      avg-power       dt              acc-time       
1               331.621000      6.686143        331.621000      0.020162        0.020162       
2               331.621000      13.519193       331.621000      0.020605        0.040767       
3               331.621000      20.214953       331.621000      0.020191        0.060958       
4               331.621000      26.924641       331.621000      0.020233        0.081191       
5               331.621000      33.624711       331.621000      0.020204        0.101395       
6               316.473000      40.017466       329.104535      0.020200        0.121595       
7               316.473000      46.402625       327.306890      0.020176        0.141771       
8               316.473000      52.790316       325.956693      0.020184        0.161955       
9               316.473000      59.178957       324.905605      0.020187        0.182142       
10              316.473000      65.563799       324.064707      0.020175        0.202317       
