#timestep       power           acc-energy      avg-power       dt              acc-time       
1               102.992000      2.078894        102.992000      0.020185        0.020185       
2               102.992000      4.183226        102.992000      0.020432        0.040617       
3               101.365000      6.225224        102.452585      0.020145        0.060762       
4               101.365000      8.268438        102.181667      0.020157        0.080919       
5               101.365000      10.312970       102.018720      0.020170        0.101089       
6               101.365000      12.357198       101.909995      0.020167        0.121256       
7               101.365000      14.401122       101.832288      0.020164        0.141420       
8               99.136000       16.400100       101.495819      0.020164        0.161584       
9               99.136000       18.400169       101.233883      0.020175        0.181759       
10              99.136000       20.400139       101.024295      0.020174        0.201933       
11              99.136000       22.405363       100.852371      0.020227        0.222160       
