#timestep       power           acc-energy      avg-power       dt              acc-time       
1               269.209000      5.441522        269.209000      0.020213        0.020213       
2               269.209000      10.966498       269.209000      0.020523        0.040736       
3               269.209000      16.433594       269.209000      0.020308        0.061044       
4               269.209000      21.900421       269.209000      0.020307        0.081351       
5               269.209000      27.376671       269.209000      0.020342        0.101693       
6               269.209000      32.846729       269.209000      0.020319        0.122012       
7               288.674000      38.714316       271.988620      0.020326        0.142338       
8               288.674000      44.587100       274.075190      0.020344        0.162682       
9               288.674000      50.453822       275.696412      0.020323        0.183005       
10              288.674000      56.323430       276.994119      0.020333        0.203338       
11              304.926000      62.518612       279.531474      0.020317        0.223655       
12              304.926000      68.710744       281.645273      0.020307        0.243962       
13              304.926000      74.912634       283.436816      0.020339        0.264301       
