#timestep       power           acc-energy      avg-power       dt              acc-time       
1               42.385000       0.856347        42.385000       0.020204        0.020204       
2               42.385000       1.725578        42.385000       0.020508        0.040712       
3               42.385000       2.586333        42.385000       0.020308        0.061020       
4               42.385000       3.446833        42.385000       0.020302        0.081322       
5               57.087000       4.606042        45.322565       0.020306        0.101628       
6               57.087000       5.765307        47.281808       0.020307        0.121935       
7               57.087000       6.924573        48.681634       0.020307        0.142242       
8               57.087000       8.084010        49.731840       0.020310        0.162552       
9               57.087000       9.243333        50.548686       0.020308        0.182860       
10              71.457000       10.694624       52.638797       0.020310        0.203170       
11              71.457000       12.151704       54.355206       0.020391        0.223561       
12              71.457000       13.594207       55.771562       0.020187        0.243748       
13              71.457000       15.038924       56.972959       0.020218        0.263966       
14              71.457000       16.483856       58.003555       0.020221        0.284187       
