#timestep       power           acc-energy      avg-power       dt              acc-time       
1               21.485000       0.432751        21.485000       0.020142        0.020142       
2               21.485000       0.870100        21.485000       0.020356        0.040498       
3               21.485000       1.304354        21.485000       0.020212        0.060710       
4               21.485000       1.737213        21.485000       0.020147        0.080857       
5               35.491000       2.451824        24.277407       0.020135        0.100992       
6               35.491000       3.170126        26.149469       0.020239        0.121231       
7               35.491000       3.891019        27.490017       0.020312        0.141543       
8               35.491000       4.612410        28.494706       0.020326        0.161869       
9               51.243000       5.661456        31.048729       0.020472        0.182341       
10              51.243000       6.701792        33.071913       0.020302        0.202643       
11              51.243000       7.734697        34.715874       0.020157        0.222800       
12              51.243000       8.772470        36.092976       0.020252        0.243052       
13              51.243000       9.809782        37.257761       0.020243        0.263295       
14              65.231000       11.126535       39.249668       0.020186        0.283481       
15              65.231000       12.444462       40.978192       0.020204        0.303685       
16              65.231000       13.760106       42.488610       0.020169        0.323854       
17              65.231000       15.076011       43.822174       0.020173        0.344027       
18              65.231000       16.392438       45.008451       0.020181        0.364208       
19              65.231000       17.709126       46.070365       0.020185        0.384393       
