#timestep       power           acc-energy      avg-power       dt              acc-time       
1               260.950000      5.271451        260.950000      0.020201        0.020201       
2               260.950000      10.594048       260.950000      0.020397        0.040598       
3               260.950000      15.894464       260.950000      0.020312        0.060910       
4               249.046000      20.952589       257.973267      0.020310        0.081220       
5               249.046000      26.031384       256.181629      0.020393        0.101613       
6               249.046000      31.106692       254.989608      0.020379        0.121992       
7               249.046000      36.137920       254.145179      0.020202        0.142194       
8               249.046000      41.168898       253.510870      0.020201        0.162395       
9               233.293000      45.883983       251.273138      0.020211        0.182606       
10              233.293000      50.604433       249.479556      0.020234        0.202840       
