#timestep       power           acc-energy      avg-power       dt              acc-time       
1               54.875000       1.111383        54.875000       0.020253        0.020253       
2               54.875000       2.233248        54.875000       0.020444        0.040697       
3               54.875000       3.342381        54.875000       0.020212        0.060909       
4               54.605000       4.450972        54.807502       0.020302        0.081211       
5               54.605000       5.560054        54.766989       0.020311        0.101522       
6               54.605000       6.669082        54.739984       0.020310        0.121832       
7               54.605000       7.772485        54.720781       0.020207        0.142039       
8               54.605000       8.880038        54.706314       0.020283        0.162322       
9               54.390000       9.988289        54.671036       0.020376        0.182698       
10              54.390000       11.093929       54.642897       0.020328        0.203026       
