#timestep       power           acc-energy      avg-power       dt              acc-time       
1               104.675000      2.110981        104.675000      0.020167        0.020167       
2               103.810000      4.232546        104.239624      0.020437        0.040604       
3               103.810000      6.337293        104.096543      0.020275        0.060879       
4               103.810000      8.452630        104.024685      0.020377        0.081256       
5               103.810000      10.558312       103.981799      0.020284        0.101540       
6               103.810000      12.663163       103.953203      0.020276        0.121816       
7               100.779000      14.707264       103.500122      0.020283        0.142099       
8               100.779000      16.747837       103.160743      0.020248        0.162347       
9               100.779000      18.787806       102.896700      0.020242        0.182589       
10              100.779000      20.831402       102.685021      0.020278        0.202867       
11              100.779000      22.879131       102.511496      0.020319        0.223186       
