#timestep       power           acc-energy      avg-power       dt              acc-time       
1               97.171000       1.961299        97.171000       0.020184        0.020184       
2               97.171000       3.955346        97.171000       0.020521        0.040705       
3               97.171000       5.932970        97.171000       0.020352        0.061057       
4               97.171000       7.907776        97.171000       0.020323        0.081380       
5               97.171000       9.884428        97.171000       0.020342        0.101722       
6               108.359000      12.086175       99.033726       0.020319        0.122041       
7               108.359000      14.288355       100.364944      0.020323        0.142364       
8               108.359000      16.489560       101.363182      0.020314        0.162678       
9               108.359000      18.680362       102.136525      0.020218        0.182896       
10              108.359000      20.869430       102.755470      0.020202        0.203098       
11              118.132000      23.252980       104.145022      0.020177        0.223275       
12              118.132000      25.647988       105.309354      0.020274        0.243549       
13              118.132000      28.047249       106.296351      0.020310        0.263859       
14              118.132000      30.445801       107.142031      0.020304        0.284163       
15              118.132000      32.845062       107.875122      0.020310        0.304473       
16              210.210000      37.125148       114.289599      0.020361        0.324834       
17              210.210000      41.393252       119.932466      0.020304        0.345138       
18              210.210000      45.663037       124.950163      0.020312        0.365450       
19              210.210000      49.936396       129.443013      0.020329        0.385779       
20              227.322000      54.551942       134.336926      0.020304        0.406083       
21              227.322000      59.173626       138.770363      0.020331        0.426414       
22              227.322000      63.802129       142.805951      0.020361        0.446775       
23              227.322000      68.421994       146.483166      0.020323        0.467098       
24              227.322000      73.040268       149.852626      0.020316        0.487414       
25              249.668000      78.116018       153.849220      0.020330        0.507744       
26              249.668000      83.186775       157.534599      0.020310        0.528054       
27              249.668000      88.256534       160.946337      0.020306        0.548360       
28              249.668000      93.326542       164.114573      0.020307        0.568667       
29              249.668000      98.404789       167.068963      0.020340        0.589007       
30              272.138000      103.934089      170.572500      0.020318        0.609325       
31              272.138000      109.463933      173.850238      0.020320        0.629645       
32              272.138000      114.991328      176.921711      0.020311        0.649956       
33              272.138000      120.516546      179.805934      0.020303        0.670259       
34              272.138000      126.043940      182.521599      0.020311        0.690570       
35              293.774000      132.010197      185.699953      0.020309        0.710879       
36              293.774000      137.977922      188.702465      0.020314        0.731193       
37              293.774000      143.945059      191.542384      0.020312        0.751505       
38              293.774000      149.917191      194.235018      0.020329        0.771834       
39              293.774000      155.881978      196.786391      0.020304        0.792138       
40              295.575000      161.885993      199.256316      0.020313        0.812451       
41              295.575000      167.904491      201.611276      0.020362        0.832813       
42              295.575000      173.872151      203.835333      0.020190        0.853003       
43              295.575000      179.824144      205.951101      0.020137        0.873140       
44              295.575000      185.794168      207.977460      0.020198        0.893338       
