#timestep       power           acc-energy      avg-power       dt              acc-time       
1               21.327000       0.431083        21.327000       0.020213        0.020213       
2               21.327000       0.868990        21.327000       0.020533        0.040746       
3               21.327000       1.302525        21.327000       0.020328        0.061074       
4               33.551000       1.984416        24.379171       0.020324        0.081398       
5               33.551000       2.665803        26.210615       0.020309        0.101707       
6               33.551000       3.348432        27.434243       0.020346        0.122053       
7               33.551000       4.032537        28.309826       0.020390        0.142443       
8               50.576000       5.050379        31.066252       0.020125        0.162568       
9               50.576000       6.069991        33.218722       0.020160        0.182728       
10              50.576000       7.093042        34.948669       0.020228        0.202956       
11              50.576000       8.115031        36.363695       0.020207        0.223163       
12              50.576000       9.137071        37.543795       0.020208        0.243371       
13              65.487000       10.461939       39.688388       0.020231        0.263602       
14              65.487000       11.782746       41.522022       0.020169        0.283771       
15              65.487000       13.103750       43.112523       0.020172        0.303943       
16              65.487000       14.425867       44.506148       0.020189        0.324132       
17              65.487000       15.749162       45.737376       0.020207        0.344339       
