#timestep       power           acc-energy      avg-power       dt              acc-time       
1               257.040000      5.194521        257.040000      0.020209        0.020209       
2               247.218000      10.238263       252.105661      0.020402        0.040611       
3               247.218000      15.261486       250.475719      0.020319        0.060930       
4               247.218000      20.286686       249.660778      0.020327        0.081257       
5               247.218000      25.320539       249.171304      0.020362        0.101619       
6               251.607000      30.437722       249.577490      0.020338        0.121957       
7               251.607000      35.546602       249.867161      0.020305        0.142262       
8               251.607000      40.662024       250.084714      0.020331        0.162593       
9               251.607000      45.770904       250.253716      0.020305        0.182898       
10              251.607000      50.891107       250.389212      0.020350        0.203248       
