#timestep       power           acc-energy      avg-power       dt              acc-time       
1               10.371000       0.209048        10.371000       0.020157        0.020157       
2               10.371000       0.429038        10.371000       0.021212        0.041369       
3               10.371000       0.638615        10.371000       0.020208        0.061577       
4               10.371000       0.847974        10.371000       0.020187        0.081764       
5               10.371000       1.057240        10.371000       0.020178        0.101942       
6               10.371000       1.266548        10.371000       0.020182        0.122124       
7               10.371000       1.496463        10.371000       0.022169        0.144293       
8               10.371000       1.716203        10.371000       0.021188        0.165481       
9               10.371000       1.935249        10.371000       0.021121        0.186602       
10              10.371000       2.162136        10.371000       0.021877        0.208479       
11              10.371000       2.371132        10.371000       0.020152        0.228631       
12              10.371000       2.584287        10.371000       0.020553        0.249184       
13              10.371000       2.815467        10.371000       0.022291        0.271475       
14              10.371000       3.023872        10.371000       0.020095        0.291570       
15              10.371000       3.232288        10.371000       0.020096        0.311666       
16              10.371000       3.440641        10.371000       0.020090        0.331756       
17              10.371000       3.649005        10.371000       0.020091        0.351847       
18              10.371000       3.870125        10.371000       0.021321        0.373168       
19              10.371000       4.081445        10.371000       0.020376        0.393544       
20              10.371000       4.290649        10.371000       0.020172        0.413716       
21              10.371000       4.499749        10.371000       0.020162        0.433878       
22              10.371000       4.708880        10.371000       0.020165        0.454043       
23              10.371000       4.917939        10.371000       0.020158        0.474201       
24              10.371000       5.159303        10.371000       0.023273        0.497474       
25              10.371000       5.367791        10.371000       0.020103        0.517577       
26              10.371000       5.576466        10.371000       0.020121        0.537698       
27              10.371000       5.785825        10.371000       0.020187        0.557885       
28              10.371000       5.994220        10.371000       0.020094        0.577979       
29              10.371000       6.202729        10.371000       0.020105        0.598084       
30              10.371000       6.413447        10.371000       0.020318        0.618402       
31              10.371000       6.624279        10.371000       0.020329        0.638731       
32              10.371000       6.839509        10.371000       0.020753        0.659484       
33              10.371000       7.050465        10.371000       0.020341        0.679825       
34              10.371000       7.265891        10.371000       0.020772        0.700597       
35              10.371000       7.492902        10.371000       0.021889        0.722486       
36              10.371000       7.702054        10.371000       0.020167        0.742653       
37              10.371000       7.912357        10.371000       0.020278        0.762931       
38              10.371000       8.146244        10.371000       0.022552        0.785483       
39              10.371000       8.357190        10.371000       0.020340        0.805823       
40              10.371000       8.592197        10.371000       0.022660        0.828483       
41              10.371000       8.801878        10.371000       0.020218        0.848701       
42              10.371000       9.011362        10.371000       0.020199        0.868900       
43              10.371000       9.222215        10.371000       0.020331        0.889231       
44              10.371000       9.431678        10.371000       0.020197        0.909428       
45              10.371000       9.640726        10.371000       0.020157        0.929585       
46              10.371000       9.898985        10.371000       0.024902        0.954487       
47              10.371000       10.114971       10.371000       0.020826        0.975313       
48              10.267000       10.322991       10.368883       0.020261        0.995574       
49              10.267000       10.568382       10.366495       0.023901        1.019475       
50              10.267000       10.774780       10.364571       0.020103        1.039578       
51              10.267000       10.981095       10.362721       0.020095        1.059673       
52              10.267000       11.187421       10.360939       0.020096        1.079769       
53              10.267000       11.393736       10.359223       0.020095        1.099864       
54              10.267000       11.600103       10.357568       0.020100        1.119964       
55              10.267000       11.812969       10.355922       0.020733        1.140697       
56              10.267000       12.021235       10.354368       0.020285        1.160982       
57              10.267000       12.229439       10.352868       0.020279        1.181261       
58              10.267000       12.436566       10.351426       0.020174        1.201435       
59              10.267000       12.643620       10.350032       0.020167        1.221602       
60              10.267000       12.850747       10.348683       0.020174        1.241776       
61              10.267000       13.057935       10.347377       0.020180        1.261956       
62              10.267000       13.264979       10.346113       0.020166        1.282122       
63              10.267000       13.471377       10.344892       0.020103        1.302225       
64              10.267000       13.678267       10.343705       0.020151        1.322376       
65              10.267000       13.884675       10.342556       0.020104        1.342480       
66              10.267000       14.091134       10.341441       0.020109        1.362589       
67              10.267000       14.297521       10.340359       0.020102        1.382691       
68              10.267000       14.503970       10.339307       0.020108        1.402799       
69              10.267000       14.712636       10.338275       0.020324        1.423123       
70              10.267000       14.923397       10.337261       0.020528        1.443651       
71              10.267000       15.147567       10.336214       0.021834        1.465485       
72              10.267000       15.357075       10.335264       0.020406        1.485891       
73              10.267000       15.566481       10.334339       0.020396        1.506287       
74              10.267000       15.774552       10.333445       0.020266        1.526553       
75              10.267000       15.985519       10.332563       0.020548        1.547101       
76              10.267000       16.191741       10.331723       0.020086        1.567187       
77              10.267000       16.410367       10.330855       0.021294        1.588481       
78              10.267000       16.617791       10.330053       0.020203        1.608684       
79              10.267000       16.825174       10.329271       0.020199        1.628883       
80              10.267000       17.032445       10.328509       0.020188        1.649071       
81              10.267000       17.239674       10.327765       0.020184        1.669255       
82              10.267000       17.446944       10.327039       0.020188        1.689443       
83              10.267000       17.662900       10.326301       0.021034        1.710477       
84              10.267000       17.890653       10.325542       0.022183        1.732660       
85              10.267000       18.125007       10.324780       0.022826        1.755486       
86              10.267000       18.340563       10.324097       0.020995        1.776481       
87              10.267000       18.551652       10.323444       0.020560        1.797041       
88              10.267000       18.802537       10.322687       0.024436        1.821477       
89              10.267000       19.009242       10.322078       0.020133        1.841610       
90              10.267000       19.215784       10.321483       0.020117        1.861727       
91              10.267000       19.422325       10.320901       0.020117        1.881844       
92              10.267000       19.654688       10.320260       0.022632        1.904476       
93              10.267000       19.861383       10.319703       0.020132        1.924608       
94              10.267000       20.071805       10.319148       0.020495        1.945103       
95              10.267000       20.282751       10.318603       0.020546        1.965649       
96              10.361000       20.494654       10.319039       0.020452        1.986101       
97              10.361000       20.705127       10.319464       0.020314        2.006415       
98              10.361000       20.915300       10.319880       0.020285        2.026700       
99              10.361000       21.125421       10.320287       0.020280        2.046980       
100             10.361000       21.335584       10.320687       0.020284        2.067264       
101             10.361000       21.545881       10.321079       0.020297        2.087561       
102             10.361000       21.793789       10.321531       0.023927        2.111488       
103             10.361000       22.004386       10.321907       0.020326        2.131814       
104             10.361000       22.216082       10.322278       0.020432        2.152246       
