#timestep       power           acc-energy      avg-power       dt              acc-time       
1               276.184000      5.578641        276.184000      0.020199        0.020199       
2               260.131000      10.939420       268.077052      0.020608        0.040807       
3               260.131000      16.189384       265.447607      0.020182        0.060989       
4               260.131000      21.447672       264.124135      0.020214        0.081203       
5               260.131000      26.702578       263.328650      0.020201        0.101404       
6               239.263000      31.568470       259.308451      0.020337        0.121741       
7               239.263000      36.409957       256.451491      0.020235        0.141976       
8               239.263000      41.246180       254.309355      0.020213        0.162189       
9               239.263000      46.087667       252.640369      0.020235        0.182424       
10              239.263000      50.912405       251.308833      0.020165        0.202589       
11              224.153000      55.467194       248.833354      0.020320        0.222909       
12              224.153000      59.982308       246.787963      0.020143        0.243052       
13              224.153000      64.504371       245.053188      0.020174        0.263226       
14              224.153000      69.024864       243.565875      0.020167        0.283393       
15              224.153000      73.566204       242.270631      0.020260        0.303653       
16              204.723000      77.690553       239.934507      0.020146        0.323799       
17              204.723000      81.824525       237.867523      0.020193        0.343992       
18              204.723000      85.952560       236.032249      0.020164        0.364156       
19              204.723000      90.091035       234.385620      0.020215        0.384371       
20              204.723000      94.207810       232.910922      0.020109        0.404480       
21              185.304000      97.945206       230.649798      0.020169        0.424649       
22              185.304000      101.683714      228.593139      0.020175        0.444824       
23              185.304000      105.420555      226.715746      0.020166        0.464990       
24              185.304000      109.158322      224.994016      0.020171        0.485161       
25              185.304000      112.890900      223.411848      0.020143        0.505304       
26              162.660000      116.172566      221.079369      0.020175        0.525479       
27              162.660000      119.452117      218.920713      0.020162        0.545641       
28              162.660000      122.728902      216.917531      0.020145        0.565786       
29              162.660000      126.033178      215.036986      0.020314        0.586100       
