#timestep       power           acc-energy      avg-power       dt              acc-time       
1               262.879000      5.305950        262.879000      0.020184        0.020184       
2               262.879000      10.693655       262.879000      0.020495        0.040679       
3               262.879000      16.031939       262.879000      0.020307        0.060986       
4               262.879000      21.378635       262.879000      0.020339        0.081325       
5               262.879000      26.716393       262.879000      0.020305        0.101630       
6               293.793000      32.681860       268.026897      0.020305        0.121935       
7               293.793000      38.651440       271.707225      0.020319        0.142254       
8               293.793000      44.621020       274.467590      0.020319        0.162573       
9               293.793000      50.597944       276.616959      0.020344        0.182917       
10              293.793000      56.564586       278.333414      0.020309        0.203226       
11              312.081000      62.904512       281.400333      0.020315        0.223541       
12              312.081000      69.247870       283.957527      0.020326        0.243867       
13              312.081000      75.584363       286.119078      0.020304        0.264171       
14              312.081000      81.921168       287.972158      0.020305        0.284476       
15              312.081000      88.225516       289.570647      0.020201        0.304677       
16              331.334000      94.964518       292.184133      0.020339        0.325016       
