#timestep       power           acc-energy      avg-power       dt              acc-time       
1               56.380000       1.139158        56.380000       0.020205        0.020205       
2               56.380000       2.296301        56.380000       0.020524        0.040729       
3               56.380000       3.441266        56.380000       0.020308        0.061037       
4               56.380000       4.587471        56.380000       0.020330        0.081367       
5               56.380000       5.732437        56.380000       0.020308        0.101675       
6               69.883000       7.152808        58.629578       0.020325        0.122000       
7               69.883000       8.571573        60.235086       0.020302        0.142302       
8               69.883000       9.990757        61.439992       0.020308        0.162610       
9               69.883000       11.409941       62.377355       0.020308        0.182918       
10              69.883000       12.830313       63.127946       0.020325        0.203243       
11              81.833000       14.492587       64.827546       0.020313        0.223556       
12              81.833000       16.154533       66.243754       0.020309        0.243865       
13              81.833000       17.818116       67.443304       0.020329        0.264194       
14              81.833000       19.484154       68.472848       0.020359        0.284553       
15              81.833000       21.134890       69.357255       0.020172        0.304725       
16              93.783000       23.029306       70.875759       0.020200        0.324925       
17              93.783000       24.923066       72.216072       0.020193        0.345118       
18              93.783000       26.816826       73.408209       0.020193        0.365311       
19              93.783000       28.710680       74.475507       0.020194        0.385505       
20              93.783000       30.602377       75.435513       0.020171        0.405676       
21              104.816000      32.717040       76.827435       0.020175        0.425851       
22              104.816000      34.831179       78.093136       0.020170        0.446021       
23              104.816000      36.954227       79.253976       0.020255        0.466276       
