#timestep       power           acc-energy      avg-power       dt              acc-time       
1               17.807000       0.359381        17.807000       0.020182        0.020182       
2               17.807000       0.725386        17.807000       0.020554        0.040736       
3               17.807000       1.087242        17.807000       0.020321        0.061057       
4               17.807000       1.448831        17.807000       0.020306        0.081363       
5               17.807000       1.810723        17.807000       0.020323        0.101686       
6               32.785000       2.477307        20.302801       0.020332        0.122018       
7               32.785000       3.143105        22.083843       0.020308        0.142326       
8               32.785000       3.809165        23.420550       0.020316        0.162642       
9               32.785000       4.475553        24.460851       0.020326        0.182968       
10              32.785000       5.142465        25.293716       0.020342        0.203310       
