#timestep       power           acc-energy      avg-power       dt              acc-time       
1               56.025000       1.131481        56.025000       0.020196        0.020196       
2               56.025000       2.283635        56.025000       0.020565        0.040761       
3               56.025000       3.421727        56.025000       0.020314        0.061075       
4               56.025000       4.559763        56.025000       0.020313        0.081388       
5               56.028000       5.698420        56.025599       0.020323        0.101711       
6               56.028000       6.836180        56.025999       0.020307        0.122018       
7               56.028000       7.973885        56.026284       0.020306        0.142324       
8               56.028000       9.112374        56.026499       0.020320        0.162644       
9               56.028000       10.249798       56.026665       0.020301        0.182945       
10              56.155000       11.392721       56.039513       0.020353        0.203298       
