#timestep       power           acc-energy      avg-power       dt              acc-time       
1               215.792000      4.355330        215.792000      0.020183        0.020183       
2               215.792000      8.757271        215.792000      0.020399        0.040582       
3               215.792000      13.139143       215.792000      0.020306        0.060888       
4               215.792000      17.520584       215.792000      0.020304        0.081192       
5               215.792000      21.901809       215.792000      0.020303        0.101495       
6               194.189000      25.866566       212.174075      0.020417        0.121912       
7               194.189000      29.782581       209.621343      0.020166        0.142078       
8               194.189000      33.696655       207.704025      0.020156        0.162234       
9               194.189000      37.617913       206.208035      0.020193        0.182427       
10              194.189000      41.534705       205.011453      0.020170        0.202597       
11              171.848000      45.001395       202.008327      0.020173        0.222770       
12              171.848000      48.467054       199.504619      0.020167        0.242937       
13              171.848000      51.932712       197.384731      0.020167        0.263104       
14              171.848000      55.397683       195.567021      0.020163        0.283267       
15              171.848000      58.863514       193.990522      0.020168        0.303435       
16              149.402000      61.885169       191.204256      0.020225        0.323660       
17              149.402000      64.895620       188.754311      0.020150        0.343810       
18              149.402000      67.905921       186.575742      0.020149        0.363959       
19              149.402000      70.916072       184.625826      0.020148        0.384107       
20              149.402000      73.925028       182.870939      0.020140        0.404247       
21              126.803000      76.495325       180.193785      0.020270        0.424517       
22              126.803000      79.052688       177.772329      0.020168        0.444685       
23              126.803000      81.610812       175.560357      0.020174        0.464859       
24              126.803000      84.168048       173.533064      0.020167        0.485026       
25              126.803000      86.726552       171.666740      0.020177        0.505203       
26              107.184000      88.888453       169.191133      0.020170        0.525373       
27              107.184000      91.050891       166.898037      0.020175        0.545548       
28              107.184000      93.212042       164.769717      0.020163        0.565711       
29              107.184000      95.375122       162.786182      0.020181        0.585892       
30              107.184000      97.530485       160.941129      0.020109        0.606001       
31              106.276000      99.669714       159.183739      0.020129        0.626130       
32              106.276000      101.812451      157.533207      0.020162        0.646292       
33              106.276000      103.955188      155.982540      0.020162        0.666454       
34              106.276000      106.102601      154.519851      0.020206        0.686660       
35              106.276000      108.244168      153.144431      0.020151        0.706811       
36              106.256000      110.388627      151.842765      0.020182        0.726993       
37              106.256000      112.530323      150.612961      0.020156        0.747149       
38              106.256000      114.670744      149.448443      0.020144        0.767293       
39              106.256000      116.816690      148.340726      0.020196        0.787489       
