#timestep       power           acc-energy      avg-power       dt              acc-time       
1               86.563000       1.747274        86.563000       0.020185        0.020185       
2               86.563000       3.524586        86.563000       0.020532        0.040717       
3               86.563000       5.272293        86.563000       0.020190        0.060907       
4               86.563000       7.017836        86.563000       0.020165        0.081072       
5               99.677000       9.027922        89.175230       0.020166        0.101238       
6               99.677000       11.039404       90.920652       0.020180        0.121418       
7               99.677000       13.050487       92.168361       0.020176        0.141594       
8               99.677000       15.063464       93.105613       0.020195        0.161789       
9               99.677000       17.074547       93.834238       0.020176        0.181965       
10              113.081000      19.356635       95.755715       0.020181        0.202146       
11              113.081000      21.638836       97.328431       0.020182        0.222328       
12              113.081000      23.921489       98.639619       0.020186        0.242514       
13              113.081000      26.200749       99.747779       0.020156        0.262670       
14              113.081000      28.480123       100.698034      0.020157        0.282827       
15              124.563000      30.992559       102.286685      0.020170        0.302997       
16              124.563000      33.502503       103.675736      0.020150        0.323147       
17              124.563000      36.012198       104.901611      0.020148        0.343295       
18              124.563000      38.528496       105.994277      0.020201        0.363496       
19              124.563000      41.041803       106.970788      0.020177        0.383673       
20              136.376000      43.792507       108.439436      0.020170        0.403843       
21              136.376000      46.543211       109.768359      0.020170        0.424013       
22              136.376000      49.293642       110.976476      0.020168        0.444181       
23              136.376000      52.044755       112.079912      0.020173        0.464354       
24              136.376000      54.796550       113.091705      0.020178        0.484532       
25              225.623000      59.343079       117.584859      0.020151        0.504683       
26              225.623000      63.890736       121.733973      0.020156        0.524839       
27              225.623000      68.439296       125.576921      0.020160        0.544999       
28              225.623000      72.992368       129.149116      0.020180        0.565179       
29              225.623000      77.544312       132.474216      0.020175        0.585354       
30              235.210000      82.310843       135.911923      0.020265        0.605619       
