#timestep       power           acc-energy      avg-power       dt              acc-time       
1               20.879000       0.418833        20.879000       0.020060        0.020060       
2               20.879000       0.844368        20.879000       0.020381        0.040441       
3               20.879000       1.264474        20.879000       0.020121        0.060562       
4               33.758000       1.948006        24.106002       0.020248        0.080810       
5               33.758000       2.633631        26.044610       0.020310        0.101120       
6               33.758000       3.319155        27.334569       0.020307        0.121427       
7               33.758000       4.004611        28.254811       0.020305        0.141732       
8               33.758000       4.690101        28.944450       0.020306        0.162038       
9               49.736000       5.702079        31.263970       0.020347        0.182385       
10              49.736000       6.712168        33.114782       0.020309        0.202694       
11              49.736000       7.722405        34.628688       0.020312        0.223006       
12              49.736000       8.733837        35.891201       0.020336        0.243342       
13              49.736000       9.744124        36.957857       0.020313        0.263655       
14              63.850000       11.040854       38.881174       0.020309        0.283964       
15              63.850000       12.338541       40.548891       0.020324        0.304288       
16              63.850000       13.635207       42.006700       0.020308        0.324596       
17              63.850000       14.932320       43.293254       0.020315        0.344911       
18              63.850000       16.232242       44.439022       0.020359        0.365270       
