#timestep       power           acc-energy      avg-power       dt              acc-time       
1               257.087000      5.188787        257.087000      0.020183        0.020183       
2               247.852000      10.241002       252.446621      0.020384        0.040567       
3               247.852000      15.279090       250.912893      0.020327        0.060894       
4               247.852000      20.311477       250.147500      0.020304        0.081198       
5               247.852000      25.344607       249.688264      0.020307        0.101505       
6               247.852000      30.377986       249.382132      0.020308        0.121813       
7               250.068000      35.455616       249.480125      0.020305        0.142118       
8               250.068000      40.532747       249.553611      0.020303        0.162421       
9               250.068000      45.610378       249.610771      0.020305        0.182726       
10              250.068000      50.730020       249.656839      0.020473        0.203199       
11              250.068000      55.814903       249.694240      0.020334        0.223533       
